Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.497912 28.466237 28.466237
2     1  1  0.002340 -0.000703  2.852073
3     1  1  0.000155 -0.000140  5.710659
8     1  1  0.001475  0.000658 19.986555
9     1  1  0.011306  0.003406 22.843340
10    1  1 28.544695 28.617596 25.706279
11    1  1  0.002340  2.852073 -0.000703
12    1  1 28.553094  2.848737  2.848737
19    1  1 28.551990  2.854874 22.843182
20    1  1  0.004801  2.862944 25.693051
21    1  1  0.000155  5.710659 -0.000140
30    1  1  0.000489  5.711236 25.697370
71    1  1  0.001475 19.986555  0.000658
80    1  1  0.000398 19.984355 25.697362
81    1  1  0.011306 22.843340  0.003406
82    1  1 28.551990 22.843182  2.854874
89    1  1 28.545677 22.857534 22.857534
90    1  1  0.002772 22.797180 25.694962
91    1  1 28.544695 25.706279 28.617596
92    1  1  0.004801 25.693051  2.862944
93    1  1  0.000489 25.697370  5.711236
98    1  1  0.000398 25.697362 19.984355
99    1  1  0.002772 25.694962 22.797180
100   1  1 27.839868 26.411077 26.411077
101   1  1  2.858985  0.000359  0.000359
102   1  1  2.855521 28.556038  2.854022
109   1  1  2.831047 28.531158 22.866742
110   1  1  2.854458  0.003447 25.686553
111   1  1  2.855521  2.854022 28.556038
112   1  1  2.846365  2.845890  2.845890
119   1  1  2.854454  2.854453 22.843368
120   1  1  2.854662  2.854884 25.698985
181   1  1  2.831047 22.866742 28.531158
182   1  1  2.854454 22.843368  2.854453
189   1  1  2.838071 22.859664 22.859664
190   1  1  2.840154 22.857596 25.705218
191   1  1  2.854458 25.686553  0.003447
192   1  1  2.854662 25.698985  2.854884
199   1  1  2.840154 25.705218 22.857596
200   1  1  2.900531 25.695028 25.695028
201   1  1  5.713287  0.001604  0.001604
210   1  1  5.711255  0.000684 25.696363
291   1  1  5.711255 25.696363  0.000684
300   1  1  5.713397 25.697420 25.697420
701   1  1 19.987588  0.000000  0.000000
710   1  1 19.987156 -0.000137 25.697672
791   1  1 19.987156 25.697672 -0.000137
800   1  1 19.986621 25.697368 25.697368
801   1  1 22.844031  0.001952  0.001952
802   1  1 22.850070 28.549291  2.847725
809   1  1 22.843880 28.555975 22.842394
810   1  1 22.845776 -0.000692 25.695499
811   1  1 22.850070  2.847725 28.549291
812   1  1 22.850553  2.847239  2.847239
819   1  1 22.851907  2.845909 22.851504
820   1  1 22.849020  2.848799 25.697783
881   1  1 22.843880 22.842394 28.555975
882   1  1 22.851907 22.851504  2.845909
890   1  1 22.843015 22.843182 25.698966
891   1  1 22.845776 25.695499 -0.000692
892   1  1 22.849020 25.697783  2.848799
899   1  1 22.843015 25.698966 22.843182
900   1  1 22.834959 25.693045 25.693045
901   1  1 25.742562 28.508374 28.508374
902   1  1 25.695855  0.001944  2.853770
903   1  1 25.697791 -0.000015  5.710215
908   1  1 25.696253  0.001580 19.984565
909   1  1 25.697522  0.000330 22.838872
910   1  1 25.784738 28.466229 25.753040
911   1  1 25.695855  2.853770  0.001944
912   1  1 25.701610  2.847714  2.847714
919   1  1 25.694985  2.853974 22.842382
920   1  1 25.698538  2.852073 25.695485
921   1  1 25.697791  5.710215 -0.000015
930   1  1 25.697955  5.710663 25.697666
971   1  1 25.696253 19.984565  0.001580
980   1  1 25.697149 19.986541 25.696319
981   1  1 25.697522 22.838872  0.000330
982   1  1 25.694985 22.842382  2.853974
989   1  1 25.719742 22.866659 22.866659
990   1  1 25.694429 22.843314 25.686484
991   1  1 25.784738 25.753040 28.466229
992   1  1 25.698538 25.695485  2.852073
993   1  1 25.697955 25.697666  5.710663
998   1  1 25.697149 25.696319 19.986541
999   1  1 25.694429 25.686484 22.843314
1000  1  1 25.633383 25.706244 25.706244
1001  1  1  1.405763  1.402365  1.402365
1002  1  1  1.426042  1.425878  4.280480
1008  1  1  1.430959  1.427625 21.415622
1009  1  1  1.428581  1.430693 24.269252
1010  1  1  1.431650  1.426099 27.136101
1011  1  1  1.426042  4.280480  1.425878
1019  1  1  1.429405  4.285178 24.268439
1020  1  1  1.428554  4.283251 27.126636
1071  1  1  1.430959 21.415622  1.427625
1079  1  1  1.430514 21.415439 24.267224
1080  1  1  1.427780 21.417372 27.127313
1081  1  1  1.428581 24.269252  1.430693
1082  1  1  1.429405 24.268439  4.285178
1088  1  1  1.430514 24.267224 21.415439
1089  1  1  1.383968 24.313774 24.313774
1090  1  1  1.341783 24.355997 27.069510
1091  1  1  1.431650 27.136101  1.426099
1092  1  1  1.428554 27.126636  4.283251
1098  1  1  1.427780 27.127313 21.417372
1099  1  1  1.341783 27.069510 24.355997
1100  1  1  1.493083 27.116200 27.116200
1101  1  1  4.282634  1.426497  1.426497
1109  1  1  4.282184  1.427632 24.266868
