Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     0  1 28.498090 28.466447 28.466447
2     0  1  0.002760 28.552158  2.852123
3     0  1  0.000640 28.552581  5.710637
4     0  1  0.000278 28.552837  8.565920
5     0  1  0.000135 28.553046 11.421172
6     0  1  0.000025  0.000104 14.276398
7     0  1  0.000007  0.000396 17.131533
8     0  1  0.001019  0.001239 19.986458
9     0  1  0.010777  0.004096 22.843515
10    0  1 28.544535  0.064999 25.706399
11    0  1  0.002760  2.852123 28.552158
12    0  1  0.000472  2.848396  2.848396
13    0  1  0.000054  2.853449  5.708583
14    0  1  0.000112  2.854774  8.565342
15    0  1  0.000132  2.855189 11.421002
16    0  1  0.000165  2.855387 14.276384
17    0  1  0.000318  2.855501 17.131747
18    0  1  0.000590  2.855157 19.987559
19    0  1 28.552049  2.855570 22.842825
20    0  1  0.005037  2.863418 25.692777
21    0  1  0.000640  5.710637 28.552581
22    0  1  0.000054  5.708583  2.853449
23    0  1 28.553109  5.708249  5.708249
24    0  1  0.000039  5.709685  8.564859
25    0  1  0.000108  5.710357 11.420828
26    0  1  0.000168  5.710576 14.276424
27    0  1  0.000187  5.710489 17.131967
28    0  1 28.553055  5.710473 19.987242
29    0  1 28.552934  5.711167 22.841857
30    0  1  0.000878  5.711563 25.696937
31    0  1  0.000278  8.565920 28.552837
32    0  1  0.000112  8.565342  2.854774
33    0  1  0.000039  8.564859  5.709685
34    0  1  0.000045  8.565043  8.565043
35    0  1  0.000079  8.565587 11.420829
36    0  1  0.000086  8.565838 14.276476
37    0  1  0.000016  8.565885 17.131886
38    0  1 28.553061  8.566027 19.987015
39    0  1  0.000052  8.566170 22.842170
40    0  1  0.000298  8.566106 25.697516
41    0  1  0.000135 11.421172 28.553046
42    0  1  0.000132 11.421002  2.855189
43    0  1  0.000108 11.420828  5.710357
44    0  1  0.000079 11.420829  8.565587
45    0  1  0.000053 11.421072 11.421072
46    0  1  0.000020 11.421345 14.276629
47    0  1 28.553099 11.421465 17.131963
48    0  1 28.553083 11.421449 19.987155
49    0  1  0.000013 11.421360 22.842400
50    0  1  0.000094 11.421259 25.697721
51    0  1  0.000025 14.276398  0.000104
52    0  1  0.000165 14.276384  2.855387
53    0  1  0.000168 14.276424  5.710576
54    0  1  0.000086 14.276476  8.565838
55    0  1  0.000020 14.276629 11.421345
56    0  1 28.553103 14.277002 14.277002
57    0  1 28.553069 14.277256 17.132440
58    0  1 28.553038 14.277087 19.987552
59    0  1 28.553017 14.276725 22.842661
60    0  1 28.553034 14.276477 25.697901
61    0  1  0.000007 17.131533  0.000396
62    0  1  0.000318 17.131747  2.855501
63    0  1  0.000187 17.131967  5.710489
64    0  1  0.000016 17.131886  8.565885
65    0  1 28.553099 17.131963 11.421465
66    0  1 28.553069 17.132440 14.277256
67    0  1 28.552979 17.133342 17.133342
68    0  1 28.552853 17.133440 19.988587
69    0  1 28.552762 17.132481 22.843194
70    0  1 28.552809 17.131593 25.698126
71    0  1  0.001019 19.986458  0.001239
72    0  1  0.000590 19.987559  2.855157
73    0  1 28.553055 19.987242  5.710473
74    0  1 28.553061 19.987015  8.566027
75    0  1 28.553083 19.987155 11.421449
76    0  1 28.553038 19.987552 14.277087
77    0  1 28.552853 19.988587 17.133440
78    0  1 28.552323 19.991324 19.991324
79    0  1 28.551611 19.990244 22.845348
80    0  1 28.552742 19.984585 25.698192
81    0  1  0.010777 22.843515  0.004096
82    0  1 28.552049 22.842825  2.855570
83    0  1 28.552934 22.841857  5.711167
84    0  1  0.000052 22.842170  8.566170
85    0  1  0.000013 22.842400 11.421360
86    0  1 28.553017 22.842661 14.276725
87    0  1 28.552762 22.843194 17.132481
88    0  1 28.551611 22.845348 19.990244
89    0  1 28.544510 22.858966 22.858966
90    0  1  0.001788 22.797895 25.696027
91    0  1 28.544535 25.706399  0.064999
92    0  1  0.005037 25.692777  2.863418
93    0  1  0.000878 25.696937  5.711563
94    0  1  0.000298 25.697516  8.566106
95    0  1  0.000094 25.697721 11.421259
96    0  1 28.553034 25.697901 14.276477
97    0  1 28.552809 25.698126 17.131593
98    0  1 28.552742 25.698192 19.984585
99    0  1  0.001788 25.696027 22.797895
100   0  1 27.839353 26.411582 26.411582
101   0  1  2.859223  0.000672  0.000672
102   0  1  2.855997  0.002852  2.854280
103   0  1  2.855734  0.000395  5.710407
104   0  1  2.855556  0.000016  8.565902
105   0  1  2.855440 28.553119 11.421233
106   0  1  2.855294  0.000009 14.276582
107   0  1  2.854989 28.553038 17.132146
108   0  1  2.853351 28.551869 19.989632
109   0  1  2.830129 28.531530 22.867686
110   0  1  2.854300  0.004096 25.687038
111   0  1  2.855997  2.854280  0.002852
