Generated by pymatgen.io.lammps.data.LammpsData

226  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     2  1 28.498090 28.466447 28.466447
2     2  1  0.002760 28.552158  2.852123
3     1  1  0.000640 28.552581  5.710637
8     1  1  0.001019  0.001239 19.986458
9     2  1  0.010777  0.004096 22.843515
10    2  1 28.544535  0.064999 25.706399
11    2  1  0.002760  2.852123 28.552158
12    1  1  0.000472  2.848396  2.848396
19    2  1 28.552049  2.855570 22.842825
20    2  1  0.005037  2.863418 25.692777
21    1  1  0.000640  5.710637 28.552581
30    1  1  0.000878  5.711563 25.696937
71    1  1  0.001019 19.986458  0.001239
78    1  1 28.552323 19.991324 19.991324
79    1  1 28.551611 19.990244 22.845348
80    1  1 28.552742 19.984585 25.698192
81    2  1  0.010777 22.843515  0.004096
82    2  1 28.552049 22.842825  2.855570
88    1  1 28.551611 22.845348 19.990244
89    2  1 28.544510 22.858966 22.858966
90    2  1  0.001788 22.797895 25.696027
91    2  1 28.544535 25.706399  0.064999
92    2  1  0.005037 25.692777  2.863418
93    1  1  0.000878 25.696937  5.711563
98    1  1 28.552742 25.698192 19.984585
99    2  1  0.001788 25.696027 22.797895
100   2  1 27.839353 26.411582 26.411582
101   2  1  2.859223  0.000672  0.000672
102   2  1  2.855997  0.002852  2.854280
108   1  1  2.853351 28.551869 19.989632
109   2  1  2.830129 28.531530 22.867686
110   2  1  2.854300  0.004096 25.687038
111   2  1  2.855997  2.854280  0.002852
112   1  1  2.846841  2.845754  2.845754
119   2  1  2.854424  2.855368 22.843391
120   2  1  2.854990  2.855570 25.698886
171   1  1  2.853351 19.989632 28.551869
178   1  1  2.852581 19.991716 19.991716
179   1  1  2.853369 19.990236 22.844445
180   1  1  2.852467 19.990244 25.699323
181   2  1  2.830129 22.867686 28.531530
182   2  1  2.854424 22.843391  2.855368
188   1  1  2.853369 22.844445 19.990236
189   1  1  2.836275 22.861540 22.861540
190   2  1  2.838849 22.858966 25.706425
191   2  1  2.854300 25.687038  0.004096
192   2  1  2.854990 25.698886  2.855570
198   1  1  2.852467 25.699323 19.990244
199   2  1  2.838849 25.706425 22.858966
200   2  1  2.899920 25.696027 25.696027
201   2  1  5.713720  0.001979  0.001979
209   1  1  5.708183 28.551869 22.844464
210   1  1  5.711356  0.001239 25.696795
279   1  1  5.706098 19.991716 22.845234
280   1  1  5.706490 19.991324 25.698612
281   1  1  5.708183 22.844464 28.551869
288   1  1  5.706098 22.845234 19.991716
289   1  1  5.707579 22.844445 22.844445
290   1  1  5.707571 22.845348 25.699323
291   1  1  5.711356 25.696795  0.001239
298   1  1  5.706490 25.698612 19.991324
299   1  1  5.707571 25.699323 22.845348
300   1  1  5.713230 25.698192 25.698192
701   1  1 19.987899 28.552578 28.552578
710   1  1 19.987178 28.552581 25.697175
791   1  1 19.987178 25.697175 28.552581
800   1  1 19.986252 25.696937 25.696937
801   1  1 22.844366  0.001441  0.001441
802   1  1 22.850747 28.548626  2.847068
809   2  1 22.843535  0.002852 22.841818
810   2  1 22.845692 28.552158 25.695054
811   1  1 22.850747  2.847068 28.548626
812   1  1 22.851439  2.846376  2.846376
819   1  1 22.852061  2.845754 22.850974
820   1  1 22.849419  2.848396 25.697342
881   2  1 22.843535 22.841818  0.002852
882   1  1 22.852061 22.850974  2.845754
889   2  1 22.842447 22.843391 22.843391
890   2  1 22.842245 22.842825 25.698886
891   2  1 22.845692 25.695054 28.552158
892   1  1 22.849419 25.697342  2.848396
899   2  1 22.842245 25.698886 22.842825
900   2  1 22.834397 25.692777 25.692777
901   2  1 25.743042 28.507893 28.507893
902   1  1 25.696373  0.001441  2.853449
903   1  1 25.698356 28.552578  5.709916
908   2  1 25.695836  0.001979 19.984095
909   2  1 25.697142  0.000672 22.838592
910   2  1 25.784488 28.466447 25.752845
911   1  1 25.696373  2.853449  0.001441
912   1  1 25.702309  2.847068  2.847068
919   2  1 25.694963  2.854280 22.841818
920   2  1 25.698777  2.852123 25.695054
921   1  1 25.698356  5.709916 28.552578
930   1  1 25.698354  5.710637 25.697175
971   2  1 25.695836 19.984095  0.001979
979   1  1 25.699065 19.989632 22.844464
980   1  1 25.696576 19.986458 25.696795
981   2  1 25.697142 22.838592  0.000672
982   2  1 25.694963 22.841818  2.854280
988   1  1 25.699065 22.844464 19.989632
989   2  1 25.719404 22.867686 22.867686
990   2  1 25.693719 22.843515 25.687038
991   2  1 25.784488 25.752845 28.466447
992   2  1 25.698777 25.695054  2.852123
993   1  1 25.698354 25.697175  5.710637
998   1  1 25.696576 25.696795 19.986458
999   2  1 25.693719 25.687038 22.843515
1000  2  1 25.632815 25.706399 25.706399
1001  2  1  1.406181  1.402358  1.402358
1002  1  1  1.426520  1.425580  4.280412
