Generated by pymatgen.io.lammps.data.LammpsData

161  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.500481 28.458120 28.458120
2     1  1  0.003130 28.549766  2.849043
3     1  1  0.000749 28.551975  5.709928
9     1  1  0.009773  0.006908 22.838595
10    1  1 28.533252  0.022574 25.717683
11    1  1  0.003130  2.849043 28.549766
12    1  1 -0.000011  2.846995  2.846995
19    1  1 28.552684  2.854633 22.843069
20    1  1  0.004981  2.860047 25.692833
21    1  1  0.000749  5.709928 28.551975
30    1  1  0.000996  5.711134 25.696819
81    1  1  0.009773 22.838595  0.006908
82    1  1 28.552684 22.843069  2.854633
89    1  1 28.552699 22.863688 22.863688
90    1  1 -0.008449 22.802825 25.706264
91    1  1 28.533252 25.717683  0.022574
92    1  1  0.004981 25.692833  2.860047
93    1  1  0.000996 25.696819  5.711134
99    1  1 -0.008449 25.706264 22.802825
100   1  1 28.057899 26.193036 26.193036
101   1  1  2.865080  0.006439  0.006439
102   1  1  2.855250  0.001966  2.853206
109   1  1  2.836333 28.538536 22.861482
110   1  1  2.859220  0.006908 25.688042
111   1  1  2.855250  2.853206  0.001966
112   1  1  2.845890  2.845371  2.845371
119   1  1  2.852463  2.853619 22.845352
120   1  1  2.854746  2.854633 25.698251
181   1  1  2.836333 22.861482 28.538536
182   1  1  2.852463 22.845352  2.853619
190   1  1  2.834126 22.863688 25.698236
191   1  1  2.859220 25.688042  0.006908
192   1  1  2.854746 25.698251  2.854633
199   1  1  2.834126 25.698236 22.863688
200   1  1  2.894990 25.706264 25.706264
201   1  1  5.715732  0.003615  0.003615
701   1  1 19.988918 28.551867 28.551867
710   1  1 19.987887 28.551975 25.697065
791   1  1 19.987887 25.697065 28.551975
800   1  1 19.986681 25.696819 25.696819
801   1  1 22.848407 -0.001774 -0.001774
802   1  1 22.853239 28.547037  2.844576
809   1  1 22.844608  0.001966 22.842565
810   1  1 22.848772 28.549766 25.694685
811   1  1 22.853239  2.844576 28.547037
812   1  1 22.853509  2.844305  2.844305
819   1  1 22.852443  2.845371 22.851925
820   1  1 22.850820  2.846995 25.697826
881   1  1 22.844608 22.842565  0.001966
882   1  1 22.852443 22.851925  2.845371
889   1  1 22.844196 22.845352 22.845352
890   1  1 22.843182 22.843069 25.698251
891   1  1 22.848772 25.694685 28.549766
892   1  1 22.850820 25.697826  2.846995
899   1  1 22.843182 25.698251 22.843069
900   1  1 22.837768 25.692833 25.692833
901   1  1 25.751870 28.499065 28.499065
902   1  1 25.699589 -0.001774  2.849408
903   1  1 25.699068 28.551867  5.708896
908   1  1 25.694200  0.003615 19.982083
909   1  1 25.691376  0.006439 22.832735
910   1  1 25.792815 28.458120 25.750454
911   1  1 25.699589  2.849408 -0.001774
912   1  1 25.703898  2.844576  2.844576
919   1  1 25.695849  2.853206 22.842565
920   1  1 25.701169  2.849043 25.694685
921   1  1 25.699068  5.708896 28.551867
930   1  1 25.698960  5.709928 25.697065
971   1  1 25.694200 19.982083  0.003615
981   1  1 25.691376 22.832735  0.006439
982   1  1 25.695849 22.842565  2.853206
989   1  1 25.712398 22.861482 22.861482
990   1  1 25.690907 22.838595 25.688042
991   1  1 25.792815 25.750454 28.458120
992   1  1 25.701169 25.694685  2.849043
993   1  1 25.698960 25.697065  5.709928
999   1  1 25.690907 25.688042 22.838595
1000  1  1 25.675240 25.717683 25.717683
1001  1  1  1.404918  1.400957  1.400957
1002  1  1  1.425947  1.424611  4.279355
1008  1  1  1.430654  1.429120 21.414484
1009  1  1  1.422211  1.425010 24.275604
1010  1  1  1.430364  1.423371 27.131662
1011  1  1  1.425947  4.279355  1.424611
1019  1  1  1.429139  4.284891 24.268676
1020  1  1  1.428802  4.282506 27.125649
1071  1  1  1.430654 21.414484  1.429120
1079  1  1  1.423381 21.424992 24.274433
1080  1  1  1.427909 21.415742 27.128482
1081  1  1  1.422211 24.275604  1.425010
1082  1  1  1.429139 24.268676  4.284891
1088  1  1  1.423381 24.274433 21.424992
1089  1  1  1.319536 24.378279 24.378279
1090  1  1  1.370391 24.327423 27.091428
1091  1  1  1.430364 27.131662  1.423371
1092  1  1  1.428802 27.125649  4.282506
1098  1  1  1.427909 27.128482 21.415742
1099  1  1  1.370391 27.091428 24.327423
1100  1  1  1.511500 27.130106 27.130106
1101  1  1  4.285107  1.428934  1.428934
1109  1  1  4.283331  1.429120 24.267161
1110  1  1  4.285537  1.428926 27.124795
1181  1  1  4.283331 24.267161  1.429120
1189  1  1  4.272822 24.274433 24.274433
1190  1  1  4.282073 24.269906 27.128482
1191  1  1  4.285537 27.124795  1.428926
1199  1  1  4.282073 27.128482 24.269906
1200  1  1  4.295842 27.133283 27.133283
1701  1  1 21.420211  1.423821  1.423821
1709  1  1 21.418460  1.424611 24.271868
