Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     0  1 28.466435 28.498095 28.466435
2     0  1 28.552146  0.002765  2.852111
3     0  1 28.552569  0.000645  5.710625
4     0  1 28.552826  0.000283  8.565908
5     0  1 28.553034  0.000140 11.421160
6     0  1  0.000092  0.000030 14.276387
7     0  1  0.000385  0.000012 17.131521
8     0  1  0.001227  0.001024 19.986446
9     0  1  0.004084  0.010782 22.843503
10    0  1  0.064988 28.544540 25.706388
11    0  1  0.000661  2.859228  0.000661
12    0  1  0.002840  2.856002  2.854268
13    0  1  0.000383  2.855739  5.710395
14    0  1  0.000004  2.855561  8.565890
15    0  1 28.553107  2.855445 11.421221
16    0  1 28.553117  2.855299 14.276570
17    0  1 28.553026  2.854994 17.132134
18    0  1 28.551858  2.853356 19.989620
19    0  1 28.531519  2.830134 22.867674
20    0  1  0.004084  2.854305 25.687026
21    0  1  0.001967  5.713725  0.001967
22    0  1 28.552983  5.710881  2.855032
23    0  1  0.000238  5.710502  5.710105
24    0  1  0.000121  5.710740  8.565788
25    0  1  0.000008  5.710695 11.421289
26    0  1 28.552996  5.710409 14.276904
27    0  1 28.552709  5.709532 17.133128
28    0  1 28.552262  5.707067 19.990741
29    0  1 28.551858  5.708188 22.844452
30    0  1  0.001227  5.711362 25.696784
31    0  1  0.000380  8.566714  0.000380
32    0  1 28.553023  8.566411  2.855513
33    0  1 28.553043  8.566009  5.710447
34    0  1  0.000006  8.565965  8.565755
35    0  1 28.553083  8.565911 11.421321
36    0  1 28.552964  8.565511 14.277086
37    0  1 28.552787  8.564704 17.133104
38    0  1 28.552709  8.564680 19.988276
39    0  1 28.553026  8.565674 22.842814
40    0  1  0.000385  8.566287 25.697796
41    0  1  0.000037 11.421554  0.000037
42    0  1 28.553019 11.421612  2.855350
43    0  1 28.552972 11.421551  5.710534
44    0  1 28.553000 11.421446  8.565758
45    0  1 28.553017 11.421275 11.421233
46    0  1 28.552989 11.420933 14.276875
47    0  1 28.552964 11.420722 17.132297
48    0  1 28.552996 11.420904 19.987399
49    0  1 28.553117 11.421238 22.842509
50    0  1  0.000092 11.421421 25.697778
51    0  1 28.552966 14.276785 28.552966
52    0  1 28.552902 14.276987  2.855080
53    0  1 28.552884 14.277155  5.710244
54    0  1 28.552911 14.277117  8.565478
55    0  1 28.552960 14.276844 11.420964
56    0  1 28.553017 14.276575 14.276533
57    0  1 28.553083 14.276487 17.131897
58    0  1  0.000008 14.276519 19.987113
59    0  1 28.553107 14.276587 22.842363
60    0  1 28.553034 14.276648 25.697668
61    0  1 28.552726 17.132212 28.552726
62    0  1 28.552605 17.132780  2.854541
63    0  1 28.552655 17.133189  5.709470
64    0  1 28.552786 17.132929  8.564879
65    0  1 28.552911 17.132330 11.420691
66    0  1 28.553000 17.132050 14.276362
67    0  1  0.000006 17.132053 17.131843
68    0  1  0.000121 17.132020 19.987068
69    0  1  0.000004 17.131918 22.842247
70    0  1 28.552826 17.131900 25.697525
71    0  1 28.552567 19.987904 28.552567
72    0  1 28.551626 19.989855  2.852954
73    0  1 28.552144 19.989896  5.707912
74    0  1 28.552655 19.988338  8.564619
75    0  1 28.552884 19.987564 11.420653
76    0  1 28.552972 19.987274 14.276257
77    0  1 28.553043 19.987361 17.131799
78    0  1  0.000238 19.987703 19.987306
79    0  1  0.000383 19.987413 22.842069
80    0  1 28.552569 19.987183 25.697163
81    0  1  0.001430 22.844371  0.001430
82    0  1 28.548614 22.850752  2.847056
83    0  1 28.551626 22.844854  5.707953
84    0  1 28.552605 22.843267  8.565028
85    0  1 28.552902 22.842728 11.420821
86    0  1 28.553019 22.842458 14.276196
87    0  1 28.553023 22.842295 17.131397
88    0  1 28.552983 22.842776 19.986927
89    0  1  0.002840 22.843540 22.841806
90    0  1 28.552146 22.845697 25.695043
91    0  1 28.507881 25.743047 28.507881
92    0  1  0.001430 25.696378  2.853437
93    0  1 28.552567 25.698361  5.709904
94    0  1 28.552726 25.698202  8.565596
95    0  1 28.552966 25.697962 11.421023
96    0  1  0.000037 25.697771 14.276254
97    0  1  0.000380 25.697428 17.131094
98    0  1  0.001967 25.695841 19.984083
99    0  1  0.000661 25.697147 22.838580
100   0  1 28.466435 25.784493 25.752833
101   0  1  2.852111  0.002765 28.552146
102   0  1  2.848384  0.000477  2.848384
103   0  1  2.853437  0.000059  5.708571
104   0  1  2.854763  0.000117  8.565330
105   0  1  2.855177  0.000137 11.420991
106   0  1  2.855376  0.000170 14.276372
107   0  1  2.855490  0.000323 17.131736
108   0  1  2.855145  0.000595 19.987547
109   0  1  2.855558 28.552054 22.842813
110   0  1  2.863406  0.005042 25.692766
111   0  1  2.854268  2.856002  0.002840
