,dx,dy,dz
0,0.055440,0.012827,0.055440
1,-0.064076,-0.022204,0.022204
2,0.011102,-0.011102,0.011102
3,0.055440,-0.055440,-0.012827
4,0.022204,-0.022204,-0.064076
5,-0.464479,0.464479,-0.464480
6,-0.012827,-0.055440,0.055440
7,0.022204,0.064076,0.022204
8,0.001759,-0.002313,0.002314
9,-0.002286,-0.045605,-0.002286
10,0.002313,-0.002313,0.001759
11,-0.002286,0.002286,0.045604
12,0.002313,-0.001759,0.002314
13,0.045605,0.002286,-0.002286
14,-0.001326,-0.008184,-0.006437
15,0.013059,-0.009620,0.013059
16,-0.001326,0.006437,0.008184
17,0.013058,-0.013058,0.009620
18,-0.006437,-0.008184,-0.001326
19,0.036891,0.048935,-0.048935
20,0.009620,-0.013059,0.013059
21,-0.006437,0.001326,0.008184
22,-0.048935,0.048935,0.036891
23,0.008184,0.006437,-0.001326
24,-0.048935,-0.036891,-0.048935
25,0.008184,0.001326,-0.006437
26,0.010350,0.008398,0.010350
27,-0.011320,-0.010865,0.010865
28,0.005192,-0.005192,0.005192
29,0.010350,-0.010350,-0.008398
30,0.010865,-0.010865,-0.011320
31,-0.086759,0.086759,-0.086759
32,-0.008398,-0.010350,0.010350
33,0.010865,0.011319,0.010865
34,0.005828,-0.000274,0.003767
35,-0.003946,-0.002661,0.002661
36,0.004298,-0.001626,0.001626
37,0.005828,-0.003767,0.000274
38,-0.004084,-0.008231,-0.004084
39,-0.003731,-0.003923,0.009538
40,0.003767,-0.000274,0.005828
41,-0.003731,-0.009538,0.003923
42,0.001626,-0.001626,0.004298
43,-0.004084,0.004084,0.008231
44,0.001626,-0.004298,0.001626
45,0.003767,-0.005828,0.000274
46,0.009538,-0.003923,-0.003731
47,-0.006571,-0.042990,-0.006571
48,0.002661,-0.002661,-0.003946
49,-0.006572,0.006571,0.042990
50,0.000274,-0.003767,0.005828
51,0.009538,0.003731,0.003923
52,0.000274,-0.005828,0.003767
53,0.002661,0.003946,0.002661
54,0.003923,-0.009538,-0.003731
55,0.042990,0.006571,-0.006572
56,0.008231,0.004084,-0.004084
57,0.003923,0.003731,0.009538
58,0.001086,-0.000300,0.000300
59,-0.006363,-0.009457,-0.006363
60,0.000300,-0.000300,0.001086
61,-0.006363,0.006363,0.009457
62,0.000300,-0.001086,0.000300
63,0.009457,0.006363,-0.006363
64,-0.001027,-0.001797,-0.002528
65,-0.001414,-0.001652,-0.000351
66,0.002705,0.000556,0.002705
67,-0.001414,0.000351,0.001653
68,0.004330,-0.003730,0.004330
69,-0.001027,0.002528,0.001797
70,0.004330,-0.004330,0.003730
71,0.002705,-0.002705,-0.000556
72,-0.002528,-0.001797,-0.001027
73,0.014234,0.011778,-0.011778
74,0.003730,-0.004330,0.004330
75,-0.002528,0.001027,0.001797
76,-0.000351,-0.001653,-0.001414
77,0.002257,0.012278,-0.012278
78,-0.000556,-0.002705,0.002705
79,-0.000351,0.001414,0.001653
80,-0.011778,0.011778,0.014234
81,-0.012278,0.012278,0.002257
82,0.001653,0.000351,-0.001414
83,-0.012278,-0.002257,-0.012278
84,0.001797,0.002528,-0.001027
85,-0.011778,-0.014234,-0.011778
86,0.001797,0.001027,-0.002528
87,0.001653,0.001414,-0.000351
88,0.000034,-0.000625,-0.000799
89,0.002466,-0.000909,0.001813
90,0.000034,0.000799,0.000625
91,0.002466,-0.001813,0.000909
92,-0.000884,-0.001803,0.000948
93,0.001813,-0.000909,0.002466
94,-0.000884,-0.000948,0.001803
95,0.001813,-0.002466,0.000909
96,0.000948,-0.001803,-0.000884
97,-0.001691,-0.000894,0.003690
98,-0.000799,-0.000625,0.000034
99,-0.001691,-0.003690,0.000894
100,0.000909,-0.001813,0.002466
101,0.000948,0.000884,0.001803
102,0.000909,-0.002466,0.001813
103,-0.000799,-0.000034,0.000625
104,0.003690,-0.000894,-0.001691
105,0.000625,0.000799,0.000034
106,0.003690,0.001691,0.000894
107,0.000625,-0.000034,-0.000799
108,0.000894,-0.003690,-0.001691
109,0.001803,-0.000948,-0.000884
110,0.000894,0.001691,0.003690
111,0.001803,0.000884,0.000948
112,0.001581,0.001590,0.001040
113,-0.001531,-0.001417,0.001417
114,0.001871,-0.000926,0.000926
115,0.001581,-0.001040,-0.001590
116,-0.001646,-0.001382,-0.001646
117,-0.001314,-0.001286,0.004061
118,0.001040,0.001590,0.001581
119,-0.001314,-0.004061,0.001286
120,0.000926,-0.000926,0.001871
121,-0.001646,0.001646,0.001382
122,0.000926,-0.001871,0.000926
123,0.001040,-0.001581,-0.001590
124,0.004061,-0.001286,-0.001314
125,0.000817,0.005713,0.000817
126,0.001417,-0.001417,-0.001531
127,0.000817,-0.000817,-0.005713
128,-0.001590,-0.001040,0.001581
129,0.004061,0.001314,0.001286
130,-0.001590,-0.001581,0.001040
131,0.001418,0.001531,0.001418
132,0.001286,-0.004061,-0.001314
133,-0.005713,-0.000817,0.000817
134,0.001382,0.001646,-0.001646
135,0.001286,0.001314,0.004061
136,0.002529,0.003506,0.002529
137,-0.002615,-0.003451,0.003451
138,0.002003,-0.002003,0.002003
139,0.002529,-0.002529,-0.003506
140,0.003451,-0.003451,-0.002615
141,-0.018794,0.018794,-0.018794
142,-0.003506,-0.002529,0.002529
143,0.003451,0.002615,0.003451
144,0.000534,0.000213,0.000232
145,0.000092,-0.000100,0.000100
146,0.000907,-0.000109,0.000109
147,0.000534,-0.000232,-0.000213
148,-0.002449,-0.002954,-0.002448
149,-0.000964,-0.000918,0.001572
150,0.000232,0.000213,0.000534
151,-0.000964,-0.001572,0.000918
152,0.000109,-0.000109,0.000907
153,-0.002448,0.002449,0.002954
154,0.000109,-0.000907,0.000109
155,0.000232,-0.000534,-0.000213
156,0.001572,-0.000918,-0.000964
157,0.000423,-0.001844,0.000423
158,0.000100,-0.000100,0.000092
159,0.000423,-0.000423,0.001844
160,-0.000213,-0.000232,0.000534
161,0.001572,0.000964,0.000918
162,-0.000213,-0.000534,0.000232
163,0.000100,-0.000092,0.000100
164,0.000918,-0.001572,-0.000964
165,0.001844,-0.000423,0.000423
166,0.002954,0.002448,-0.002448
167,0.000918,0.000964,0.001572
