Generated by pymatgen.io.lammps.data.LammpsData

168  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.511980 28.511980 28.511980
2     1  1  0.001546  0.001546  2.855203
3     1  1  0.000076  0.000076  5.710840
8     1  1  0.000076  0.000076 19.986968
9     1  1  0.001546  0.001546 22.842605
10    1  1 28.511980 28.511980 25.738948
11    1  1  0.001546  2.855203  0.001546
12    1  1 28.552699  2.851670  2.851670
19    1  1 28.552699  2.851670 22.846138
20    1  1  0.001546  2.855203 25.696262
21    1  1  0.000076  5.710840  0.000076
30    1  1  0.000076  5.710840 25.697732
71    1  1  0.000076 19.986968  0.000076
80    1  1  0.000076 19.986968 25.697732
81    1  1  0.001546 22.842605  0.001546
82    1  1 28.552699 22.846138  2.851670
89    1  1 28.552699 22.846138 22.846138
90    1  1  0.001546 22.842605 25.696262
91    1  1 28.511980 25.738948 28.511980
92    1  1  0.001546 25.696262  2.855203
93    1  1  0.000076 25.697732  5.710840
98    1  1  0.000076 25.697732 19.986968
99    1  1  0.001546 25.696262 22.842605
100   1  1 28.511980 25.738948 25.738948
101   1  1  2.855203  0.001546  0.001546
102   1  1  2.851670 28.552699  2.851670
109   1  1  2.851670 28.552699 22.846138
110   1  1  2.855203  0.001546 25.696262
111   1  1  2.851670  2.851670 28.552699
112   1  1  2.848824  2.848824  2.848824
119   1  1  2.848824  2.848824 22.848984
120   1  1  2.851670  2.851670 25.698229
181   1  1  2.851670 22.846138 28.552699
182   1  1  2.848824 22.848984  2.848824
189   1  1  2.848824 22.848984 22.848984
190   1  1  2.851670 22.846138 25.698229
191   1  1  2.855203 25.696262  0.001546
192   1  1  2.851670 25.698229  2.851670
199   1  1  2.851670 25.698229 22.846138
200   1  1  2.855203 25.696262 25.696262
201   1  1  5.710840  0.000076  0.000076
210   1  1  5.710840  0.000076 25.697732
291   1  1  5.710840 25.697732  0.000076
300   1  1  5.710840 25.697732 25.697732
701   1  1 19.986968  0.000076  0.000076
710   1  1 19.986968  0.000076 25.697732
791   1  1 19.986968 25.697732  0.000076
800   1  1 19.986968 25.697732 25.697732
801   1  1 22.842605  0.001546  0.001546
802   1  1 22.846138 28.552699  2.851670
809   1  1 22.846138 28.552699 22.846138
810   1  1 22.842605  0.001546 25.696262
811   1  1 22.846138  2.851670 28.552699
812   1  1 22.848984  2.848824  2.848824
819   1  1 22.848984  2.848824 22.848984
820   1  1 22.846138  2.851670 25.698229
881   1  1 22.846138 22.846138 28.552699
882   1  1 22.848984 22.848984  2.848824
889   1  1 22.848984 22.848984 22.848984
890   1  1 22.846138 22.846138 25.698229
891   1  1 22.842605 25.696262  0.001546
892   1  1 22.846138 25.698229  2.851670
899   1  1 22.846138 25.698229 22.846138
900   1  1 22.842605 25.696262 25.696262
901   1  1 25.738948 28.511980 28.511980
902   1  1 25.696262  0.001546  2.855203
903   1  1 25.697732  0.000076  5.710840
908   1  1 25.697732  0.000076 19.986968
909   1  1 25.696262  0.001546 22.842605
910   1  1 25.738948 28.511980 25.738948
911   1  1 25.696262  2.855203  0.001546
912   1  1 25.698229  2.851670  2.851670
919   1  1 25.698229  2.851670 22.846138
920   1  1 25.696262  2.855203 25.696262
921   1  1 25.697732  5.710840  0.000076
930   1  1 25.697732  5.710840 25.697732
971   1  1 25.697732 19.986968  0.000076
980   1  1 25.697732 19.986968 25.697732
981   1  1 25.696262 22.842605  0.001546
982   1  1 25.698229 22.846138  2.851670
989   1  1 25.698229 22.846138 22.846138
990   1  1 25.696262 22.842605 25.696262
991   1  1 25.738948 25.738948 28.511980
992   1  1 25.696262 25.696262  2.855203
993   1  1 25.697732 25.697732  5.710840
998   1  1 25.697732 25.697732 19.986968
999   1  1 25.696262 25.696262 22.842605
1000  1  1 25.738948 25.738948 25.738948
1001  1  1  1.411850  1.411850  1.411850
1002  1  1  1.426787  1.426787  4.281728
1008  1  1  1.426787  1.426787 21.416080
1009  1  1  1.411850  1.411850 24.285958
1010  1  1  1.421104  1.421104 27.125464
1011  1  1  1.426787  4.281728  1.426787
1019  1  1  1.426787  4.281728 24.271021
1020  1  1  1.426842  4.282052 27.125464
1071  1  1  1.426787 21.416080  1.426787
1079  1  1  1.426787 21.416080 24.271021
1080  1  1  1.426842 21.415756 27.125464
1081  1  1  1.411850 24.285958  1.411850
1082  1  1  1.426787 24.271021  4.281728
1088  1  1  1.426787 24.271021 21.416080
1089  1  1  1.411850 24.285958 24.285958
1090  1  1  1.421104 24.276704 27.125464
1091  1  1  1.421104 27.125464  1.421104
1092  1  1  1.426842 27.125464  4.282052
1098  1  1  1.426842 27.125464 21.415756
1099  1  1  1.421104 27.125464 24.276704
1100  1  1  1.466602 27.125464 27.125464
1101  1  1  4.281728  1.426787  1.426787
