Generated by pymatgen.io.lammps.data.LammpsData

168  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.465979 28.497516 28.465979
2     1  1 -0.000274  0.001803  2.852074
3     1  1  0.000068 -0.000079  5.710681
8     1  1  0.000428  0.001442 19.986851
9     1  1  0.002698  0.011932 22.843080
10    1  1 28.616640 28.544889 25.706039
11    1  1  0.000127  2.858472  0.000127
12    1  1 28.555929  2.854465  2.853372
19    1  1 28.532650  2.834781 22.863027
20    1  1  0.002698  2.854728 25.685876
21    1  1  0.001291  5.712617  0.001291
30    1  1  0.000428  5.710957 25.696366
71    1  1  0.000250 19.987332  0.000250
80    1  1  0.000068 19.987127 25.697887
81    1  1  0.002497 22.843549  0.002497
82    1  1 28.549940 22.848935  2.848873
89    1  1 28.555929 22.844436 22.843343
90    1  1 -0.000274 22.845734 25.696005
91    1  1 28.509083 25.741845 28.509083
92    1  1  0.002497 25.695311  2.854259
93    1  1  0.000250 25.697558  5.710476
98    1  1  0.001291 25.696517 19.985191
99    1  1  0.000127 25.697681 22.839336
100   1  1 28.465979 25.784949 25.753412
101   1  1  2.852074  0.001803 -0.000274
102   1  1  2.849722 28.552776  2.849722
109   1  1  2.853586 28.551910 22.843964
110   1  1  2.861930  0.004506 25.693302
111   1  1  2.853372  2.854465 28.555929
112   1  1  2.846486  2.846247  2.846486
119   1  1  2.852628  2.854247 22.843561
120   1  1  2.853586  2.853844 25.699018
181   1  1  2.848873 22.848935 28.549940
182   1  1  2.848007 22.849801  2.848007
189   1  1  2.846486 22.851322 22.851561
190   1  1  2.849722 22.848086 25.698152
191   1  1  2.854259 25.695311  0.002497
192   1  1  2.848873 25.700988  2.848873
199   1  1  2.853372 25.694999 22.843343
200   1  1  2.852074 25.698082 25.696005
201   1  1  5.710681 -0.000079  0.000068
210   1  1  5.710914  0.000219 25.697589
291   1  1  5.710476 25.697558  0.000250
300   1  1  5.710681 25.697740 25.697887
701   1  1 19.986851  0.001442  0.000428
710   1  1 19.985030  0.000694 25.697114
791   1  1 19.985191 25.696517  0.001291
800   1  1 19.986851 25.697380 25.696366
801   1  1 22.843080  0.011932  0.002698
802   1  1 22.843964 28.551910  2.853586
809   1  1 22.854948 28.546666 22.854948
810   1  1 22.796606  0.003847 25.693961
811   1  1 22.863027  2.834781 28.532650
812   1  1 22.843561  2.854247  2.852628
819   1  1 22.857116  2.840692 22.857116
820   1  1 22.854948  2.842860 25.704262
881   1  1 22.843343 22.844436 28.555929
882   1  1 22.851561 22.851322  2.846486
889   1  1 22.843561 22.845180 22.843561
890   1  1 22.843964 22.844222 25.699018
891   1  1 22.839336 25.697681  0.000127
892   1  1 22.843343 25.694999  2.853372
899   1  1 22.863027 25.718278 22.863027
900   1  1 22.843080 25.695110 25.685876
901   1  1 25.706039 28.544889 28.616640
902   1  1 25.693302  0.004506  2.861930
903   1  1 25.697589  0.000219  5.710914
908   1  1 25.697114  0.000694 19.985030
909   1  1 25.693961  0.003847 22.796606
910   1  1 26.410041 27.840887 26.410041
911   1  1 25.685876  2.854728  0.002698
912   1  1 25.699018  2.853844  2.853586
919   1  1 25.704262  2.842860 22.854948
920   1  1 25.693961  2.901202 25.693961
921   1  1 25.696366  5.710957  0.000428
930   1  1 25.697114  5.712778 25.697114
971   1  1 25.697887 19.987127  0.000068
980   1  1 25.697589 19.986894 25.697589
981   1  1 25.696005 22.845734 -0.000274
982   1  1 25.698152 22.848086  2.849722
989   1  1 25.699018 22.844222 22.843964
990   1  1 25.693302 22.835878 25.693302
991   1  1 25.753412 25.784949 28.465979
992   1  1 25.696005 25.698082  2.852074
993   1  1 25.697887 25.697740  5.710681
998   1  1 25.696366 25.697380 19.986851
999   1  1 25.685876 25.695110 22.843080
1000  1  1 25.706039 25.634288 25.706039
1001  1  1  1.402695  1.405143  1.402695
1002  1  1  1.426324  1.425780  4.280753
1008  1  1  1.427257  1.430974 21.415329
1009  1  1  1.429028  1.428950 24.268858
1010  1  1  1.425302  1.431120 27.136052
1011  1  1  1.426445  4.281985  1.426445
1019  1  1  1.427257  4.282479 24.266834
1020  1  1  1.426272  4.282538 27.124062
1071  1  1  1.426891 21.416660  1.426891
1079  1  1  1.426324 21.417055 24.272028
1080  1  1  1.426002 21.417090 27.124783
1081  1  1  1.409963 24.287845  1.409963
1082  1  1  1.426891 24.270917  4.281148
1088  1  1  1.426445 24.271363 21.415823
1089  1  1  1.402695 24.295113 24.292665
1090  1  1  1.412055 24.285753 27.117710
1091  1  1  1.412055 27.133218  1.412055
1092  1  1  1.426002 27.126145  4.280718
1098  1  1  1.426272 27.126866 21.415270
1099  1  1  1.425302 27.114876 24.266688
1100  1  1  1.471816 27.123170 27.127758
1101  1  1  4.280753  1.425780  1.426324
