Generated by pymatgen.io.lammps.data.LammpsData

168  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.456540 28.499154 28.456540
2     1  1 -0.002221  0.001820  2.849374
3     1  1 -0.000156 -0.000137  5.710306
8     1  1  0.001040  0.001648 19.986050
9     1  1  0.005277  0.011085 22.838682
10    1  1 28.576057 28.534185 25.716743
11    1  1  0.005630  2.863433  0.005630
12    1  1 28.555227  2.853466  2.852697
19    1  1 28.538465  2.839891 22.857917
20    1  1  0.005277  2.859126 25.686723
21    1  1  0.002525  5.713794  0.002525
30    1  1  0.001040  5.711758 25.696160
71    1  1 -0.000033 19.987875 -0.000033
80    1  1 -0.000156 19.987502 25.697945
81    1  1 -0.000080 22.846903 -0.000080
82    1  1 28.548969 22.850468  2.847340
89    1  1 28.555227 22.845111 22.844342
90    1  1 -0.002221 22.848434 25.695988
91    1  1 28.500878 25.750050 28.500879
92    1  1 -0.000080 25.697888  2.850905
93    1  1 -0.000033 25.697841  5.709933
98    1  1  0.002525 25.695283 19.984014
99    1  1  0.005630 25.692178 22.834375
100   1  1 28.456540 25.794388 25.751774
101   1  1  2.849374  0.001820 -0.002221
102   1  1  2.848965 28.552142  2.848965
109   1  1  2.853084 28.552348 22.844486
110   1  1  2.859149  0.004207 25.693601
111   1  1  2.852697  2.853466 28.555227
112   1  1  2.846295  2.845318  2.846295
119   1  1  2.851439  2.852275 22.845533
120   1  1  2.853084  2.853322 25.698580
181   1  1  2.847340 22.850468 28.548969
182   1  1  2.846821 22.850987  2.846821
189   1  1  2.846295 22.851513 22.852490
190   1  1  2.848965 22.848843 25.698786
191   1  1  2.850904 25.697888 -0.000080
192   1  1  2.847340 25.701959  2.847340
199   1  1  2.852697 25.695701 22.844342
200   1  1  2.849374 25.700029 25.695988
201   1  1  5.710306 -0.000137 -0.000156
210   1  1  5.710748  0.000176 25.697632
291   1  1  5.709933 25.697841 -0.000033
300   1  1  5.710306 25.697964 25.697945
701   1  1 19.986050  0.001648  0.001040
710   1  1 19.985124  0.000499 25.697309
791   1  1 19.984014 25.695283  0.002525
800   1  1 19.986050 25.696768 25.696160
801   1  1 22.838682  0.011085  0.005277
802   1  1 22.844486 28.552348  2.853084
809   1  1 22.858416 28.554956 22.858416
810   1  1 22.799615 -0.005025 25.702833
811   1  1 22.857917  2.839891 28.538465
812   1  1 22.845533  2.852275  2.851439
819   1  1 22.867777  2.830031 22.867777
820   1  1 22.858416  2.839392 25.695972
881   1  1 22.844342 22.845111 28.555227
882   1  1 22.852490 22.851513  2.846295
889   1  1 22.845533 22.846369 22.845533
890   1  1 22.844486 22.844724 25.698580
891   1  1 22.834375 25.692178  0.005630
892   1  1 22.844342 25.695701  2.852697
899   1  1 22.857917 25.712463 22.857917
900   1  1 22.838682 25.692531 25.686723
901   1  1 25.716743 28.534185 28.576056
902   1  1 25.693601  0.004207  2.859149
903   1  1 25.697632  0.000176  5.710748
908   1  1 25.697309  0.000499 19.985124
909   1  1 25.702833 -0.005025 22.799615
910   1  1 26.203427 28.047501 26.203427
911   1  1 25.686723  2.859126  0.005277
912   1  1 25.698580  2.853322  2.853084
919   1  1 25.695972  2.839392 22.858416
920   1  1 25.702833  2.898193 25.702833
921   1  1 25.696160  5.711758  0.001040
930   1  1 25.697309  5.712684 25.697309
971   1  1 25.697945 19.987502 -0.000156
980   1  1 25.697632 19.987060 25.697632
981   1  1 25.695988 22.848434 -0.002221
982   1  1 25.698786 22.848843  2.848965
989   1  1 25.698580 22.844724 22.844486
990   1  1 25.693601 22.838659 25.693601
991   1  1 25.751774 25.794387 28.456541
992   1  1 25.695988 25.700029  2.849374
993   1  1 25.697945 25.697964  5.710306
998   1  1 25.696160 25.696768 19.986050
999   1  1 25.686723 25.692531 22.838682
1000  1  1 25.716743 25.674872 25.716743
1001  1  1  1.401499  1.403452  1.401499
1002  1  1  1.425747  1.425197  4.280146
1008  1  1  1.428101  1.430848 21.414795
1009  1  1  1.423169  1.422715 24.275093
1010  1  1  1.422430  1.429288 27.131901
1011  1  1  1.428433  4.283110  1.428433
1019  1  1  1.428101  4.283013 24.266960
1020  1  1  1.427726  4.283854 27.124516
1071  1  1  1.425861 21.417951  1.425861
1079  1  1  1.425747 21.417662 24.272611
1080  1  1  1.425029 21.418222 27.124555
1081  1  1  1.406658 24.291150  1.406658
1082  1  1  1.425861 24.271947  4.279857
1088  1  1  1.428433 24.269375 21.414698
1089  1  1  1.401499 24.296309 24.294356
1090  1  1  1.408045 24.289763 27.115844
1091  1  1  1.408045 27.135084  1.408045
1092  1  1  1.425029 27.126373  4.279586
1098  1  1  1.427726 27.126412 21.413954
1099  1  1  1.422430 27.119027 24.268520
1100  1  1  1.464843 27.127778 27.123150
