,dx,dy,dz
0,-0.022204,-0.022204,-0.064076
1,0.464479,0.464479,-0.464480
2,0.012827,-0.055440,0.055440
3,-0.022204,0.064076,0.022204
4,-0.055440,0.012827,0.055440
5,0.064076,-0.022204,0.022204
6,-0.011102,-0.011102,0.011102
7,-0.055440,-0.055440,-0.012827
8,-0.045605,0.002286,-0.002286
9,0.002286,-0.045605,-0.002286
10,-0.002313,-0.002313,0.001759
11,0.002286,0.002286,0.045604
12,-0.002313,-0.001759,0.002314
13,-0.001759,-0.002313,0.002314
14,0.048935,0.048935,0.036891
15,-0.008184,0.006437,-0.001326
16,0.048935,-0.036891,-0.048935
17,-0.008184,0.001326,-0.006437
18,0.006437,-0.008184,-0.001326
19,-0.036891,0.048935,-0.048935
20,-0.009620,-0.013059,0.013059
21,0.006437,0.001326,0.008184
22,0.001326,-0.008184,-0.006437
23,-0.013059,-0.009620,0.013059
24,0.001326,0.006437,0.008184
25,-0.013058,-0.013058,0.009620
26,-0.010865,-0.010865,-0.011320
27,0.086759,0.086759,-0.086759
28,0.008398,-0.010350,0.010350
29,-0.010865,0.011320,0.010865
30,-0.010350,0.008398,0.010350
31,0.011319,-0.010865,0.010865
32,-0.005192,-0.005192,0.005192
33,-0.010350,-0.010350,-0.008398
34,-0.003923,-0.009538,-0.003731
35,-0.042990,0.006571,-0.006571
36,-0.008231,0.004084,-0.004084
37,-0.003923,0.003731,0.009538
38,-0.009538,-0.003923,-0.003731
39,0.006571,-0.042990,-0.006572
40,-0.002661,-0.002661,-0.003946
41,0.006571,0.006572,0.042990
42,-0.000274,-0.003767,0.005828
43,-0.009538,0.003731,0.003923
44,-0.000274,-0.005828,0.003767
45,-0.002661,0.003946,0.002661
46,0.004084,-0.008231,-0.004084
47,0.003731,-0.003923,0.009538
48,-0.003767,-0.000274,0.005828
49,0.003731,-0.009538,0.003923
50,-0.001626,-0.001626,0.004298
51,0.004084,0.004084,0.008231
52,-0.001626,-0.004298,0.001626
53,-0.003767,-0.005828,0.000274
54,-0.005828,-0.000274,0.003767
55,0.003946,-0.002661,0.002661
56,-0.004298,-0.001626,0.001626
57,-0.005828,-0.003767,0.000274
58,-0.009457,0.006363,-0.006363
59,0.006363,-0.009457,-0.006363
60,-0.000300,-0.000300,0.001086
61,0.006363,0.006363,0.009457
62,-0.000300,-0.001086,0.000300
63,-0.001086,-0.000300,0.000300
64,0.011778,0.011778,0.014234
65,0.012278,0.012278,0.002257
66,-0.001653,0.000351,-0.001414
67,0.012278,-0.002257,-0.012278
68,-0.001797,0.002528,-0.001027
69,0.011778,-0.014234,-0.011778
70,-0.001797,0.001027,-0.002528
71,-0.001652,0.001414,-0.000351
72,0.000351,-0.001653,-0.001414
73,-0.002257,0.012278,-0.012278
74,0.000556,-0.002705,0.002705
75,0.000351,0.001414,0.001653
76,0.002528,-0.001797,-0.001027
77,-0.014234,0.011778,-0.011778
78,-0.003730,-0.004330,0.004330
79,0.002528,0.001027,0.001797
80,0.001027,-0.001797,-0.002528
81,0.001414,-0.001653,-0.000351
82,-0.002705,0.000556,0.002705
83,0.001414,0.000351,0.001653
84,-0.004330,-0.003730,0.004330
85,0.001027,0.002528,0.001797
86,-0.004330,-0.004330,0.003730
87,-0.002705,-0.002705,-0.000556
88,-0.000894,-0.003690,-0.001691
89,-0.001803,-0.000948,-0.000884
90,-0.000894,0.001691,0.003690
91,-0.001803,0.000884,0.000948
92,-0.003690,-0.000894,-0.001691
93,-0.000625,0.000799,0.000034
94,-0.003690,0.001691,0.000894
95,-0.000625,-0.000034,-0.000799
96,-0.000948,-0.001803,-0.000884
97,0.001691,-0.000894,0.003690
98,0.000799,-0.000625,0.000034
99,0.001691,-0.003690,0.000894
100,-0.000909,-0.001813,0.002466
101,-0.000948,0.000884,0.001803
102,-0.000909,-0.002466,0.001813
103,0.000799,-0.000034,0.000625
104,0.000884,-0.001803,0.000948
105,-0.001813,-0.000909,0.002466
106,0.000884,-0.000948,0.001803
107,-0.001813,-0.002466,0.000909
108,-0.000034,-0.000625,-0.000799
109,-0.002466,-0.000909,0.001813
110,-0.000034,0.000799,0.000625
111,-0.002466,-0.001813,0.000909
112,-0.001286,-0.004061,-0.001314
113,0.005713,-0.000817,0.000817
114,-0.001382,0.001646,-0.001646
115,-0.001286,0.001314,0.004061
116,-0.004061,-0.001286,-0.001314
117,-0.000817,0.005713,0.000817
118,-0.001417,-0.001417,-0.001531
119,-0.000817,-0.000817,-0.005713
120,0.001590,-0.001040,0.001581
121,-0.004061,0.001314,0.001286
122,0.001590,-0.001581,0.001040
123,-0.001417,0.001531,0.001417
124,0.001646,-0.001382,-0.001646
125,0.001314,-0.001286,0.004061
126,-0.001040,0.001590,0.001581
127,0.001314,-0.004061,0.001286
128,-0.000926,-0.000926,0.001871
129,0.001646,0.001646,0.001382
130,-0.000926,-0.001871,0.000926
131,-0.001040,-0.001581,-0.001590
132,-0.001581,0.001590,0.001040
133,0.001531,-0.001418,0.001418
134,-0.001871,-0.000926,0.000926
135,-0.001581,-0.001040,-0.001590
136,-0.003451,-0.003451,-0.002615
137,0.018794,0.018794,-0.018794
138,0.003506,-0.002529,0.002529
139,-0.003451,0.002615,0.003451
140,-0.002529,0.003506,0.002529
141,0.002615,-0.003451,0.003451
142,-0.002003,-0.002003,0.002003
143,-0.002529,-0.002529,-0.003506
144,-0.000918,-0.001572,-0.000964
145,-0.001844,-0.000423,0.000423
146,-0.002954,0.002449,-0.002448
147,-0.000918,0.000964,0.001572
148,-0.001572,-0.000918,-0.000964
149,-0.000423,-0.001844,0.000423
150,-0.000100,-0.000100,0.000092
151,-0.000423,-0.000423,0.001844
152,0.000213,-0.000232,0.000534
153,-0.001572,0.000964,0.000918
154,0.000213,-0.000534,0.000232
155,-0.000100,-0.000092,0.000100
156,0.002448,-0.002954,-0.002448
157,0.000964,-0.000918,0.001572
158,-0.000232,0.000213,0.000534
159,0.000964,-0.001572,0.000918
160,-0.000109,-0.000109,0.000907
161,0.002449,0.002448,0.002954
162,-0.000109,-0.000907,0.000109
163,-0.000232,-0.000534,-0.000213
164,-0.000534,0.000213,0.000232
165,-0.000092,-0.000100,0.000100
166,-0.000907,-0.000109,0.000109
167,-0.000534,-0.000232,-0.000213
