,type,x,y,z
1,1,-1.386516,-1.386516,-1.386516
2,1,-1.386516,-1.386516,1.386516
3,1,-1.386516,1.386516,-1.386516
4,1,-1.386516,1.386516,1.386516
5,1,1.386516,-1.386516,-1.386516
6,1,1.386516,-1.386516,1.386516
7,1,1.386516,1.386516,-1.386516
8,1,1.386516,1.386516,1.386516
9,1,-2.894258,-0.000000,-0.000000
10,1,0.000000,-2.894258,-0.000000
11,1,0.000000,-0.000000,-2.894258
12,1,0.000000,-0.000000,2.894258
13,1,0.000000,2.894258,-0.000000
14,1,2.894258,-0.000000,-0.000000
15,1,-2.848760,-2.848760,-0.000000
16,1,-2.848760,-0.000000,-2.848760
17,1,-2.848760,-0.000000,2.848760
18,1,-2.848760,2.848760,-0.000000
19,1,0.000000,-2.848760,-2.848760
20,1,0.000000,-2.848760,2.848760
21,1,0.000000,2.848760,-2.848760
22,1,0.000000,2.848760,2.848760
23,1,2.848760,-2.848760,-0.000000
24,1,2.848760,-0.000000,-2.848760
25,1,2.848760,-0.000000,2.848760
26,1,2.848760,2.848760,-0.000000
27,1,-2.839506,-2.839506,-2.839506
28,1,-2.839506,-2.839506,2.839506
29,1,-2.839506,2.839506,-2.839506
30,1,-2.839506,2.839506,2.839506
31,1,2.839506,-2.839506,-2.839506
32,1,2.839506,-2.839506,2.839506
33,1,2.839506,2.839506,-2.839506
34,1,2.839506,2.839506,2.839506
35,1,-4.282859,-1.429202,-1.429202
36,1,-4.282859,-1.429202,1.429202
37,1,-4.282859,1.429202,-1.429202
38,1,-4.282859,1.429202,1.429202
39,1,-1.429202,-4.282859,-1.429202
40,1,-1.429202,-4.282859,1.429202
41,1,-1.429202,-1.429202,-4.282859
42,1,-1.429202,-1.429202,4.282859
43,1,-1.429202,1.429202,-4.282859
44,1,-1.429202,1.429202,4.282859
45,1,-1.429202,4.282859,-1.429202
46,1,-1.429202,4.282859,1.429202
47,1,1.429202,-4.282859,-1.429202
48,1,1.429202,-4.282859,1.429202
49,1,1.429202,-1.429202,-4.282859
50,1,1.429202,-1.429202,4.282859
51,1,1.429202,1.429202,-4.282859
52,1,1.429202,1.429202,4.282859
53,1,1.429202,4.282859,-1.429202
54,1,1.429202,4.282859,1.429202
55,1,4.282859,-1.429202,-1.429202
56,1,4.282859,-1.429202,1.429202
57,1,4.282859,1.429202,-1.429202
58,1,4.282859,1.429202,1.429202
59,1,-5.713044,-0.000000,-0.000000
60,1,0.000000,-5.713044,-0.000000
61,1,0.000000,-0.000000,-5.713044
62,1,0.000000,-0.000000,5.713044
63,1,0.000000,5.713044,-0.000000
64,1,5.713044,-0.000000,-0.000000
65,1,-4.279326,-4.279326,-1.427235
66,1,-4.279326,-4.279326,1.427235
67,1,-4.279326,-1.427235,-4.279326
68,1,-4.279326,-1.427235,4.279326
69,1,-4.279326,1.427235,-4.279326
70,1,-4.279326,1.427235,4.279326
71,1,-4.279326,4.279326,-1.427235
72,1,-4.279326,4.279326,1.427235
73,1,-1.427235,-4.279326,-4.279326
74,1,-1.427235,-4.279326,4.279326
75,1,-1.427235,4.279326,-4.279326
76,1,-1.427235,4.279326,4.279326
77,1,1.427235,-4.279326,-4.279326
78,1,1.427235,-4.279326,4.279326
79,1,1.427235,4.279326,-4.279326
80,1,1.427235,4.279326,4.279326
81,1,4.279326,-4.279326,-1.427235
82,1,4.279326,-4.279326,1.427235
83,1,4.279326,-1.427235,-4.279326
84,1,4.279326,-1.427235,4.279326
85,1,4.279326,1.427235,-4.279326
86,1,4.279326,1.427235,4.279326
87,1,4.279326,4.279326,-1.427235
88,1,4.279326,4.279326,1.427235
89,1,-5.709708,-2.854498,-0.000000
90,1,-5.709708,-0.000000,-2.854498
91,1,-5.709708,-0.000000,2.854498
92,1,-5.709708,2.854498,-0.000000
93,1,-2.854498,-5.709708,-0.000000
94,1,-2.854498,-0.000000,-5.709708
95,1,-2.854498,-0.000000,5.709708
96,1,-2.854498,5.709708,-0.000000
97,1,0.000000,-5.709708,-2.854498
98,1,0.000000,-5.709708,2.854498
99,1,0.000000,-2.854498,-5.709708
