Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   1  atom types

0.000000 14.276500  xlo xhi
0.000000 28.553000  ylo yhi
0.000000 87.106000  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

1    -2  1 14.276500 28.552979 14.985007
2    -2  1 14.276500 28.552976 17.855186
3    -2  1 14.276500 28.552969 20.712499
4    -2  1 14.276500 28.552964 23.567966
5    -2  1 14.276500 28.552974 26.423392
6    -2  1 14.276500  0.000034 29.278815
7    -2  1 14.276500  0.000188 32.134138
8     0  1 14.276500  0.000336 34.989168
9     0  1 14.276500  0.000355 37.843888
10    0  1 14.276500  0.000307 40.698499
11    0  1 14.276500  0.000274 43.553157
12    0  1 14.276500  0.000275 46.407847
13    0  1 14.276500  0.000309 49.262504
14    0  1 14.276500  0.000357 52.117113
15   -2  1  0.000000  0.000340 54.971829
16   -2  1 14.276500  0.000193 57.826850
17   -2  1 14.276500  0.000041 60.682159
18   -2  1 14.276500 28.552979 63.537549
19   -2  1 14.276500 28.552962 66.392636
20   -2  1 14.276500 28.552951 69.234530
21   -2  1 14.276500  2.855244 14.985006
22   -2  1 14.276500  2.855238 17.855172
23   -2  1 14.276500  2.855222 20.712469
24   -2  1 14.276500  2.855209 23.567903
25   -2  1 14.276500  2.855235 26.423277
26   -2  1 14.276500  2.855368 29.278655
27   -2  1 14.276500  2.855706 32.134065
28    0  1 14.276500  2.856283 34.989496
29    0  1  0.000000  2.856604 37.844449
30    0  1 14.276500  2.856474 40.698795
31    0  1  0.000000  2.856388 43.553246
32    0  1 14.276500  2.856389 46.407757
33    0  1 14.276500  2.856477 49.262207
34    0  1 14.276500  2.856610 52.116552
35   -2  1 14.276500  2.856293 54.971503
36   -2  1 14.276500  2.855720 57.826928
37   -2  1 14.276500  2.855385 60.682329
38   -2  1  0.000000  2.855248 63.537681
39   -2  1 14.276500  2.855204 66.392724
40   -2  1 14.276500  2.855174 69.234588
41   -2  1 14.276500  5.710530 14.985003
42   -2  1 14.276500  5.710524 17.855150
43   -2  1 14.276500  5.710506 20.712419
44   -2  1 14.276500  5.710495 23.567806
45   -2  1 14.276500  5.710526 26.423113
46   -2  1 14.276500  5.710652 29.278425
47   -2  1 14.276500  5.710967 32.133843
48    0  1 14.276500  5.711719 34.989623
49    0  1 14.276500  5.713597 37.846196
50    0  1 14.276500  5.713267 40.699486
51    0  1 14.276500  5.713187 43.553465
52    0  1 14.276500  5.713188 46.407536
53    0  1 14.276500  5.713270 49.261514
54    0  1 14.276500  5.713604 52.114805
55   -2  1 14.276500  5.711731 54.971377
56   -2  1 14.276500  5.710984 57.827157
57   -2  1 14.276500  5.710672 60.682575
58   -2  1 14.276500  5.710541 63.537873
59   -2  1 14.276500  5.710489 66.392860
60   -2  1  0.000000  5.710448 69.234682
61   -2  1 14.276500  8.565843 14.984999
62   -2  1 14.276500  8.565839 17.855126
63   -2  1 14.276500  8.565826 20.712368
64   -2  1 14.276500  8.565821 23.567715
65   -2  1 14.276500  8.565843 26.422971
66   -2  1 14.276500  8.565923 29.278230
67   -2  1 14.276500  8.566108 32.133603
68    0  1 14.276500  8.566516 34.989358
69    0  1 14.276500  8.567282 37.845782
70    0  1 14.276500  8.568008 40.700166
71    0  1 14.276500  8.567498 43.553569
72    0  1 14.276500  8.567498 46.407429
73    0  1 14.276500  8.568011 49.260832
74    0  1 14.276500  8.567288 52.115217
75   -2  1 14.276500  8.566526 54.971644
76   -2  1 14.276500  8.566123 57.827404
77   -2  1 14.276500  8.565939 60.682786
78   -2  1 14.276500  8.565856 63.538042
79   -2  1 14.276500  8.565815 66.392989
80   -2  1 14.276500  8.565780 69.234776
81   -2  1 14.276500 11.421178 14.984996
82   -2  1 14.276500 11.421177 17.855110
83   -2  1 14.276500 11.421172 20.712337
84   -2  1 14.276500 11.421171 23.567662
85   -2  1 14.276500 11.421179 26.422892
86   -2  1 14.276500 11.421205 29.278123
87   -2  1 14.276500 11.421264 32.133467
88    0  1 14.276500 11.421389 34.989203
89    0  1 14.276500 11.421633 37.845660
90    0  1 14.276500 11.421752 40.699636
91    0  1 14.276500 11.421078 43.552889
92    0  1 14.276500 11.421079 46.408108
93    0  1 14.276500 11.421753 49.261361
94    0  1 14.276500 11.421635 52.115339
95   -2  1 14.276500 11.421393 54.971800
96   -2  1 14.276500 11.421269 57.827544
97   -2  1 14.276500 11.421211 60.682902
98   -2  1 14.276500 11.421184 63.538137
99   -2  1 14.276500 11.421169 66.393066
100  -2  1  0.000000 11.421155 69.234835
101  -2  1 14.276500 14.276522 14.984996
102  -2  1 14.276500 14.276523 17.855110
103  -2  1 14.276500 14.276528 20.712337
104  -2  1 14.276500 14.276529 23.567662
105  -2  1 14.276500 14.276521 26.422892
106  -2  1 14.276500 14.276495 29.278123
107  -2  1 14.276500 14.276436 32.133467
108   0  1 14.276500 14.276311 34.989203
