Generated by pymatgen.io.lammps.data.LammpsData

164  atoms

  1  atom types

0.000000 14.276500  xlo xhi
0.000000 28.553000  ylo yhi
0.000000 87.106000  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

91    1  1 14.273316 11.420723 43.552533
92    1  1 14.273494 11.419643 46.408896
111   1  1 14.273495 14.277409 43.551453
112   1  1 14.270617 14.279413 46.410901
270   1  1  2.880205  8.591620 40.723782
271   1  1  2.870779  8.582230 43.551412
272   1  1  2.870210  8.581786 46.393160
273   1  1  2.857799  8.569416 49.258589
290   1  1  2.870789 11.419595 40.714388
291   1  1  2.811738 11.426576 43.558387
292   1  1  2.850768 11.410392 46.413123
293   1  1  2.856635 11.422223 49.260165
310   1  1  2.870212 14.261684 40.713930
311   1  1  2.850761 14.281645 43.542206
312   1  1  2.846371 14.282003 46.413489
313   1  1  2.856496 14.278410 49.259794
330   1  1  2.857803 17.127446 40.701577
331   1  1  2.856633 17.129011 43.554037
332   1  1  2.856492 17.128640 46.409893
333   1  1  2.864754 17.122285 49.253424
451   1  1  5.709899  5.708790 43.552604
452   1  1  5.708749  5.709714 46.408940
470   1  1  5.708525  8.582053 40.714222
471   1  1  5.715354  8.523201 43.558124
472   1  1  5.699221  8.562285 46.413174
473   1  1  5.711107  8.568108 49.260491
489   1  1  5.709898 11.420775 37.841285
490   1  1  5.715372 11.426325 40.655489
491   1  1  6.215882 11.926826 44.058531
492   1  1  5.729198 11.440231 46.430842
493   1  1  5.706056 11.417078 49.266586
494   1  1  5.710177 11.421097 52.117786
509   1  1  5.708746 14.277466 37.842200
510   1  1  5.699222 14.281696 40.694434
511   1  1  5.729241 14.299338 43.572079
512   1  1  5.764256 14.179754 46.311210
513   1  1  5.708441 14.274195 49.256837
514   1  1  5.710490 14.276263 52.117349
530   1  1  5.711103 17.129356 40.700265
531   1  1  5.706053 17.135442 43.548890
532   1  1  5.708437 17.125685 46.405679
533   1  1  5.711284 17.125234 49.256374
551   1  1  5.710179 19.986970 43.552926
552   1  1  5.710491 19.986532 46.407735
651   1  1  8.566977  5.709683 43.551432
652   1  1  8.568456  5.707648 46.410412
670   1  1  8.551164  8.581469 40.713633
671   1  1  8.570986  8.562133 43.541927
672   1  1  8.571277  8.557821 46.413542
673   1  1  8.567848  8.567869 49.260189
689   1  1  8.566975 11.419601 37.842170
690   1  1  8.570982 11.410109 40.694290
691   1  1  8.588466 11.440159 43.571963
692   1  1  8.468744 11.475241 46.311213
693   1  1  8.563363 11.419387 49.256998
694   1  1  8.565730 11.421384 52.117416
709   1  1  8.568455 14.278939 37.840133
710   1  1  8.571304 14.282087 40.689937
711   1  1  8.468816 14.179830 43.607051
712   1  1  8.513149 14.224233 46.355684
713   1  1  8.565491 14.276367 49.258540
714   1  1  8.565850 14.276397 52.117045
730   1  1  8.567852 17.129057 40.700023
731   1  1  8.563371 17.125858 43.551197
732   1  1  8.565498 17.127394 46.407854
733   1  1  8.561508 17.123739 49.254878
751   1  1  8.565728 19.986600 43.553213
752   1  1  8.565848 19.986228 46.407869
870   1  1 11.417552  8.569202 40.701361
871   1  1 11.418916  8.567990 43.553690
872   1  1 11.418326  8.567685 46.410078
873   1  1 11.412160  8.575996 49.253818
890   1  1 11.418916 11.421871 40.700131
891   1  1 11.424347 11.416859 43.548668
892   1  1 11.414319 11.419180 46.405911
893   1  1 11.414470 11.422098 49.256754
910   1  1 11.418327 14.278600 40.699824
911   1  1 11.414330 14.274431 43.550989
912   1  1 11.415539 14.276819 46.408304
913   1  1 11.412802 14.272280 49.255138
930   1  1 11.412165 17.122686 40.708152
931   1  1 11.414481 17.125608 43.553913
932   1  1 11.412811 17.123989 46.403768
933   1  1 11.412459 17.123426 49.254567
1070  1  1  1.434320  9.994011 42.125991
1071  1  1  1.426836  9.991218 44.982265
1072  1  1  1.426613  9.990857 47.835401
1090  1  1  1.426834 12.850617 42.123189
1091  1  1  1.414412 12.855495 44.987146
1092  1  1  1.425323 12.847997 47.834826
1110  1  1  1.426611 15.704084 42.122834
1111  1  1  1.425323 15.703504 44.979648
1112  1  1  1.426385 15.704466 47.835786
1250  1  1  4.282675  7.145540 42.125811
1251  1  1  4.279737  7.138582 44.982212
1252  1  1  4.279408  7.138551 47.835699
1269  1  1  4.282692  9.993828 39.277878
1270  1  1  4.385257 10.096509 42.228534
1271  1  1  4.338033 10.049320 44.943609
1272  1  1  4.287465  9.998751 47.830742
1273  1  1  4.282001  9.993227 50.690342
1289  1  1  4.279747 12.850549 39.270902
1290  1  1  4.338024 12.811992 42.181327
1291  1  1  4.197985 12.851164 44.982809
1292  1  1  4.280852 12.855333 47.829977
1293  1  1  4.282717 12.849649 50.689129
1309  1  1  4.279407 15.704396 39.270869
1310  1  1  4.287477 15.699417 42.130745
1311  1  1  4.280849 15.698664 44.986979
1312  1  1  4.306743 15.677707 47.809019
1313  1  1  4.285010 15.702022 50.687243
