Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  1  atom types

0.000000 14.276500  xlo xhi
0.000000 28.553000  ylo yhi
0.000000 87.106000  zlo zhi
0.000000 0.000000 0.014276  xy xz yz

Masses

1  55.847

Atoms

71    1  1  0.003778  8.575526 43.554833
72    1  1  0.002331  8.575294 46.407141
90    1  1  0.003870 11.429815 40.700388
91    1  1 14.275028 11.428059 43.552595
92    1  1 14.275897 11.427337 46.408680
110   1  1  0.002515 14.282477 40.699701
111   1  1 14.275991 14.284470 43.551396
112   1  1 14.272825 14.285635 46.409370
251   1  1  2.858419  5.720935 43.554739
252   1  1  2.857234  5.720793 46.406877
270   1  1  2.875069  8.591695 40.717036
271   1  1  2.872201  8.589474 43.561702
272   1  1  2.880588  8.598714 46.386389
273   1  1  2.855748  8.575213 49.262616
289   1  1  2.858595 11.429243 37.846131
290   1  1  2.872298 11.436682 40.714346
291   1  1  2.811040 11.426464 43.551000
292   1  1  2.856423 11.417932 46.411782
293   1  1  2.855054 11.430402 49.262603
309   1  1  2.857502 14.281773 37.845579
310   1  1  2.880779 14.261728 40.723143
311   1  1  2.856520 14.287569 43.541993
312   1  1  2.851188 14.284474 46.408209
313   1  1  2.853760 14.286991 49.261063
330   1  1  2.856031 17.138329 40.699198
331   1  1  2.855245 17.138734 43.553991
332   1  1  2.853851 17.137640 46.410243
450   1  1  5.712727  5.720756 40.701213
451   1  1  5.711365  5.715412 43.553580
452   1  1  5.709741  5.717666 46.409259
469   1  1  5.712816  8.575375 37.846415
470   1  1  5.719736  8.589359 40.714700
471   1  1  5.709111  8.528588 43.551312
472   1  1  5.699910  8.574668 46.412072
473   1  1  5.711557  8.574445 49.263057
489   1  1  5.711550 11.428088 37.840624
490   1  1  5.709206 11.426294 40.653492
491   1  1  6.424488 12.142351 44.266686
492   1  1  5.719206 11.437504 46.472911
493   1  1  5.705345 11.424282 49.270854
509   1  1  5.710017 14.284152 37.842459
510   1  1  5.700095 14.287405 40.699077
511   1  1  5.719357 14.348661 43.561595
512   1  1  5.765551 14.197371 46.321102
513   1  1  5.707466 14.283480 49.259462
530   1  1  5.711828 17.138779 40.698424
531   1  1  5.705530 17.146997 43.547867
532   1  1  5.707555 17.136039 46.406736
533   1  1  5.709574 17.132596 49.255549
650   1  1  8.565664  5.720617 40.700615
651   1  1  8.567844  5.717686 43.552232
652   1  1  8.568331  5.715590 46.409865
669   1  1  8.565759  8.574775 37.846276
670   1  1  8.544997  8.598367 40.723712
671   1  1  8.570336  8.574497 43.542445
672   1  1  8.566669  8.569873 46.408658
673   1  1  8.568779  8.573390 49.261805
689   1  1  8.568035 11.426739 37.842890
690   1  1  8.570431 11.417430 40.699362
691   1  1  8.630971 11.437275 43.561794
692   1  1  8.479130 11.484026 46.321351
693   1  1  8.564781 11.426523 49.259783
709   1  1  8.568613 14.284758 37.840383
710   1  1  8.566875 14.284013 40.694261
711   1  1  8.479213 14.197169 43.608119
712   1  1  8.520457 14.238981 46.362706
713   1  1  8.567026 14.285988 49.261051
730   1  1  8.569051 17.137529 40.697363
731   1  1  8.564960 17.135914 43.550109
732   1  1  8.567119 17.137630 46.409247
733   1  1  8.560981 17.131560 49.254514
870   1  1 11.422604  8.574557 40.699899
871   1  1 11.422240  8.574343 43.554571
872   1  1 11.420532  8.573397 46.410772
890   1  1 11.422335 11.429555 40.699205
891   1  1 11.429213 11.423835 43.548368
892   1  1 11.417794 11.426236 46.407412
893   1  1 11.414169 11.428651 49.256145
910   1  1 11.420718 14.286109 40.697803
911   1  1 11.417884 14.283203 43.550293
912   1  1 11.418697 14.286037 46.409770
913   1  1 11.412521 14.280056 49.254811
931   1  1 11.414358 17.132285 43.552240
932   1  1 11.412612 17.131387 46.403309
1050  1  1  1.436365  7.153307 42.130074
1051  1  1  1.434619  7.152409 44.981136
1069  1  1  1.436458 10.004649 39.278570
1070  1  1  1.430281  9.998666 42.123607
1071  1  1  1.431093 10.001499 44.983080
1072  1  1  1.428259  9.998597 47.835565
1089  1  1  1.434809 12.856058 39.277224
1090  1  1  1.431184 12.858469 42.125960
1091  1  1  1.419764 12.860869 44.985006
1092  1  1  1.426643 12.855151 47.834169
1110  1  1  1.428444 15.711303 42.122599
1111  1  1  1.426737 15.710356 44.978805
1112  1  1  1.426374 15.710142 47.833483
1249  1  1  4.287998  7.153134 39.278879
1250  1  1  4.281858  7.147064 42.124136
1251  1  1  4.284017  7.148781 44.983267
1252  1  1  4.279925  7.147167 47.836004
1269  1  1  4.281953  9.998717 39.272330
1270  1  1  4.328521 10.045721 42.170671
1271  1  1  4.369764 10.087532 44.925254
1272  1  1  4.282102 10.000692 47.839106
1273  1  1  4.280365  9.999953 50.692977
1289  1  1  4.284197 12.858187 39.273586
1290  1  1  4.369847 12.800679 42.212020
1291  1  1  4.218006 12.847429 44.971579
1292  1  1  4.278547 12.867276 47.834012
1293  1  1  4.280944 12.857971 50.690485
