Generated by pymatgen.io.lammps.data.LammpsData

164  atoms

  1  atom types

0.000000 14.276500  xlo xhi
0.000000 28.553000  ylo yhi
0.000000 87.106000  zlo zhi
0.000000 0.000000 0.014277  xy xz yz

Masses

1  55.847

Atoms

70    1  1 -0.000095  8.573313 40.694879
71    1  1 -0.000265  8.574845 43.551469
72    1  1  0.000475  8.575005 46.406309
90    1  1  0.001753 11.426147 40.696587
91    1  1 14.268181 11.424426 43.556749
92    1  1 -0.000265 11.430176 46.405999
110   1  1  0.000124 14.286765 40.694272
111   1  1  0.001756 14.284906 43.554558
112   1  1 -0.000092 14.287096 46.407055
250   1  1  2.853825  5.716747 40.696896
251   1  1  2.854887  5.718369 43.554025
252   1  1  2.856892  5.720741 46.406257
269   1  1  2.851701  8.572671 37.843694
270   1  1  2.853789  8.571359 40.696747
271   1  1  2.851639  8.575581 43.563427
272   1  1  2.877641  8.598697 46.382604
273   1  1  2.856890  8.575515 49.260226
289   1  1  2.853450 11.425655 37.845241
290   1  1  2.939324 11.484430 40.782246
291   1  1  2.789361 11.438319 43.542849
292   1  1  2.851641 11.418217 46.405260
293   1  1  2.854886 11.428099 49.262141
309   1  1  2.851227 14.286346 37.843390
310   1  1  2.896837 14.241308 40.739754
311   1  1  2.939335 14.199249 43.496261
312   1  1  2.853773 14.285244 46.409025
313   1  1  2.853824 14.285572 49.263281
330   1  1  2.851225 17.137987 40.694246
331   1  1  2.853454 17.136586 43.554592
332   1  1  2.851703 17.138619 46.407218
450   1  1  5.711710  5.717765 40.697867
451   1  1  5.710754  5.715531 43.553079
452   1  1  5.709841  5.720633 46.406005
469   1  1  5.709117  8.573586 37.843498
470   1  1  5.721066  8.574995 40.694476
471   1  1  5.712742  8.528934 43.555091
472   1  1  5.702714  8.589224 46.392081
473   1  1  5.709842  8.575767 49.260333
489   1  1  5.714342 11.423553 37.835224
490   1  1  5.700514 11.437736 40.632085
491   1  1  7.050937 12.800594 44.893139
492   1  1  5.712746 11.426563 46.451874
493   1  1  5.710753 11.429046 49.264970
509   1  1  5.712243 14.284186 37.845162
510   1  1  5.653880 14.198863 40.782205
511   1  1  5.700477 14.349366 43.542919
512   1  1  5.721068 14.287498 46.405376
513   1  1  5.711709 14.284600 49.262261
530   1  1  5.712247 17.136215 40.696408
531   1  1  5.714343 17.146615 43.556693
532   1  1  5.709119 17.138816 46.406300
650   1  1  8.564680  5.719688 40.699895
651   1  1  8.564312  5.720156 43.552143
652   1  1  8.565248  5.720264 46.406837
669   1  1  8.564802  8.573440 37.844085
670   1  1  8.540788  8.597583 40.720420
671   1  1  8.550064  8.588688 43.545013
672   1  1  8.547962  8.591253 46.390052
673   1  1  8.565249  8.574936 49.260702
689   1  1  8.564570 11.428810 37.843472
690   1  1  8.563298 11.417279 40.694378
691   1  1  8.609792 11.426039 43.555139
692   1  1  8.550058 11.436625 46.392146
693   1  1  8.564316 11.429978 49.260356
709   1  1  8.565589 14.285879 37.843609
710   1  1  8.567077 14.284421 40.696616
711   1  1  8.563303 14.287123 43.563428
712   1  1  8.540787 14.261561 46.382784
713   1  1  8.564683 14.282574 49.260343
730   1  1  8.565590 17.137767 40.694716
731   1  1  8.564566 17.138355 43.551436
732   1  1  8.564794 17.138222 46.406443
870   1  1 11.418647  8.573841 40.699626
871   1  1 11.418524  8.574676 43.551802
872   1  1 11.418767  8.573907 46.407406
890   1  1 11.420402 11.426616 40.697366
891   1  1 11.422508 11.427920 43.553253
892   1  1 11.418525 11.429841 46.406171
910   1  1 11.421523 14.284638 40.696399
911   1  1 11.420402 14.284130 43.554089
912   1  1 11.418648 14.282349 46.406533
1049  1  1  1.428289  7.147760 39.271856
1050  1  1  1.428708  7.147274 42.126727
1051  1  1  1.428112  7.147948 44.982964
1052  1  1  1.436336  7.155324 47.826040
1069  1  1  1.447828 10.020577 39.291247
1070  1  1  1.427956  9.997847 42.113557
1071  1  1  1.424157 10.000917 44.980327
1072  1  1  1.428115  9.998752 47.832961
1089  1  1  1.439848 12.848667 39.283132
1090  1  1  1.381520 12.859422 42.121673
1091  1  1  1.427961 12.868013 44.982923
1092  1  1  1.428707 12.855322 47.833168
1109  1  1  1.441994 15.695604 39.285386
1110  1  1  1.439845 15.698306 42.131983
1111  1  1  1.447829 15.690655 44.959722
1112  1  1  1.428284 15.710540 47.832203
1230  1  1  4.282557  4.289804 42.125216
1231  1  1  4.282858  4.290510 44.980298
1249  1  1  4.283995  7.146588 39.272048
1250  1  1  4.278272  7.138688 42.120902
1251  1  1  4.280985  7.149004 44.979968
1252  1  1  4.283135  7.151899 47.829468
1268  1  1  4.281344  9.999150 36.415316
1269  1  1  4.270857  9.997334 39.271097
1270  1  1  4.291075  9.937028 42.133599
1271  1  1  4.338434 10.088108 44.893104
1272  1  1  4.280987 10.001749 47.831906
1273  1  1  4.282856 10.001886 50.690054
1288  1  1  4.282093 12.855444 36.413503
