Generated by pymatgen.io.lammps.data.LammpsData

16000  atoms

    1  atom types

0.000000 57.106000  xlo xhi
0.000000 57.106000  ylo yhi
0.000000 57.106000  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

1     -2  1 57.064876 57.064752 57.064707
2     -2  1  1.411812  1.411724  1.411648
3     -2  1  0.001687  0.001467  2.854886
4     -2  1  1.426835  1.426668  4.281360
5     -2  1  0.000285  0.000005  5.710379
6     -2  1  1.427569  1.427349  7.137583
7     -2  1  0.000234 57.105920  8.565484
8     -2  1  1.427727  1.427481  9.993019
9     -2  1  0.000274 57.105953 11.420762
10    -2  1  1.427784  1.427540 12.848395
11    -2  1  0.000282 57.105977 14.276100
12    -2  1  1.427789  1.427568 15.703771
13    -2  1  0.000262 57.105992 17.131473
14    -2  1  1.427763  1.427583 18.559161
15    -2  1  0.000222  0.000001 19.986868
16    -2  1  1.427719  1.427590 21.414564
17    -2  1  0.000170  0.000005 22.842276
18    -2  1  1.427663  1.427594 24.269975
19    -2  1  0.000110  0.000006 25.697689
20    -2  1  1.427602  1.427595 27.125390
21    -2  1  0.000047  0.000004 28.553102
22    -2  1  1.427538  1.427594 29.980805
23    -2  1 57.105984 57.106000 31.408510
24    -2  1  1.427475  1.427590 32.836217
25    -2  1 57.105923 57.105993 34.263908
26    -2  1  1.427415  1.427583 35.691619
27    -2  1 57.105869 57.105981 37.119289
28    -2  1  1.427360  1.427568 38.547010
29    -2  1 57.105824 57.105964 39.974646
30    -2  1  1.427309  1.427540 41.402386
31    -2  1 57.105789 57.105938 42.829968
32    -2  1  1.427248  1.427481 44.257762
33    -2  1 57.105772 57.105906 45.685230
34    -2  1  1.427139  1.427347 47.113199
35    -2  1 57.105899 57.105992 48.540325
36    -2  1  1.426506  1.426663 49.969426
37    -2  1  0.001423  0.001454 51.395818
38    -2  1  1.411620  1.411704 52.839150
39    -2  1 57.064751 57.064711 54.292021
40    -2  1  1.420985  1.420983 55.678391
41    -2  1  0.001600  2.855086  0.001431
42    -2  1  1.426763  4.281585  1.426599
43    -2  1 57.105716  2.851522  2.851334
44    -2  1  1.426995  4.280672  4.280466
45    -2  1 57.105947  2.854386  5.709227
46    -2  1  1.427451  4.282111  7.137021
47    -2  1  0.000182  2.854952  8.565173
48    -2  1  1.427690  4.282559  9.992806
49    -2  1  0.000261  2.855090 11.420648
50    -2  1  1.427772  4.282698 12.848302
51    -2  1  0.000277  2.855140 14.276049
52    -2  1  1.427785  4.282749 15.703726
53    -2  1  0.000259  2.855163 17.131448
54    -2  1  1.427762  4.282770 18.559139
55    -2  1  0.000221  2.855174 19.986855
56    -2  1  1.427718  4.282779 21.414553
57    -2  1  0.000169  2.855181 22.842270
58    -2  1  1.427663  4.282783 24.269971
59    -2  1  0.000110  2.855184 25.697687
60    -2  1  1.427601  4.282785 27.125390
61    -2  1  0.000047  2.855186 28.553104
62    -2  1  1.427536  4.282783 29.980810
63    -2  1 57.105983  2.855186 31.408517
64    -2  1  1.427471  4.282779 32.836228
65    -2  1 57.105922  2.855183 34.263921
66    -2  1  1.427409  4.282770 35.691642
67    -2  1 57.105867  2.855174 37.119315
68    -2  1  1.427350  4.282749 38.547055
69    -2  1 57.105819  2.855153 39.974697
70    -2  1  1.427289  4.282698 41.402480
71    -2  1 57.105777  2.855104 42.830081
72    -2  1  1.427203  4.282559 44.257975
73    -2  1 57.105721  2.854965 45.685542
74    -2  1  1.427014  4.282110 47.113762
75    -2  1 57.105564  2.854396 48.541477
76    -2  1  1.426663  4.280669 49.970318
77    -2  1 57.105461  2.851526 51.399365
78    -2  1  1.426582  4.281583 52.824185
79    -2  1  0.001509  2.855086 54.249264
80    -2  1  1.426732  4.281922 55.678391
81    -2  1  0.000127  5.710710 57.105956
82    -2  1  1.427450  7.137926  1.427284
83    -2  1 57.105881  5.709534  2.854212
84    -2  1  1.427407  7.137333  4.281934
85    -2  1  0.000015  5.709142  5.708871
86    -2  1  1.427544  7.137246  7.136981
87    -2  1  0.000184  5.709891  8.564827
88    -2  1  1.427702  7.137653  9.992640
89    -2  1  0.000265  5.710190 11.420477
90    -2  1  1.427775  7.137860 12.848199
91    -2  1  0.000285  5.710297 14.275966
92    -2  1  1.427788  7.137945 15.703673
93    -2  1  0.000269  5.710339 17.131406
94    -2  1  1.427764  7.137981 18.559112
95    -2  1  0.000230  5.710360 19.986835
96    -2  1  1.427719  7.137997 21.414541
97    -2  1  0.000177  5.710372 22.842262
98    -2  1  1.427662  7.138004 24.269966
99    -2  1  0.000116  5.710379 25.697686
100   -2  1  1.427599  7.138006 27.125390
101   -2  1  0.000051  5.710384 28.553108
102   -2  1  1.427532  7.138004 29.980815
103   -2  1 57.105986  5.710387 31.408527
104   -2  1  1.427465  7.137997 32.836240
105   -2  1 57.105923  5.710385 34.263941
106   -2  1  1.427399  7.137981 35.691669
107   -2  1 57.105864  5.710372 37.119354
