Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     0  1 28.511980 28.511980 28.511980
2     0  1  0.001546  0.001546  2.855203
3     0  1  0.000076  0.000076  5.710840
4     0  1 28.553100 28.553100  8.566007
5     0  1 28.553116 28.553116 11.421270
6     0  1 28.553116 28.553116 14.276538
7     0  1 28.553100 28.553100 17.131801
8     0  1  0.000076  0.000076 19.986968
9     0  1  0.001546  0.001546 22.842605
10    0  1 28.511980 28.511980 25.738948
11    0  1  0.001546  2.855203  0.001546
12    0  1 28.552699  2.851670  2.851670
13    0  1 28.552861  2.854553  5.709708
14    0  1 28.553048  2.855137  8.565728
15    0  1 28.553099  2.855271 11.421210
16    0  1 28.553099  2.855271 14.276598
17    0  1 28.553048  2.855137 17.132080
18    0  1 28.552861  2.854553 19.988100
19    0  1 28.552699  2.851670 22.846138
20    0  1  0.001546  2.855203 25.696262
21    0  1  0.000076  5.710840  0.000076
22    0  1 28.552861  5.709708  2.854553
23    0  1 28.552920  5.709381  5.709381
24    0  1 28.553037  5.710181  8.565432
25    0  1 28.553086  5.710483 11.421126
26    0  1 28.553086  5.710483 14.276682
27    0  1 28.553037  5.710181 17.132376
28    0  1 28.552920  5.709381 19.988427
29    0  1 28.552861  5.709708 22.843255
30    0  1  0.000076  5.710840 25.697732
31    0  1 28.553100  8.566007 28.553100
32    0  1 28.553048  8.565728  2.855137
33    0  1 28.553037  8.565432  5.710181
34    0  1 28.553056  8.565481  8.565481
35    0  1 28.553081  8.565721 11.421095
36    0  1 28.553081  8.565721 14.276713
37    0  1 28.553056  8.565481 17.132327
38    0  1 28.553037  8.565432 19.987627
39    0  1 28.553048  8.565728 22.842671
40    0  1 28.553100  8.566007 25.697828
41    0  1 28.553116 11.421270 28.553116
42    0  1 28.553099 11.421210  2.855271
43    0  1 28.553086 11.421126  5.710483
44    0  1 28.553081 11.421095  8.565721
45    0  1 28.553083 11.421136 11.421136
46    0  1 28.553083 11.421136 14.276672
47    0  1 28.553081 11.421095 17.132087
48    0  1 28.553086 11.421126 19.987325
49    0  1 28.553099 11.421210 22.842537
50    0  1 28.553116 11.421270 25.697812
51    0  1 28.553116 14.276538 28.553116
52    0  1 28.553099 14.276598  2.855271
53    0  1 28.553086 14.276682  5.710483
54    0  1 28.553081 14.276713  8.565721
55    0  1 28.553083 14.276672 11.421136
56    0  1 28.553083 14.276672 14.276672
57    0  1 28.553081 14.276713 17.132087
58    0  1 28.553086 14.276682 19.987325
59    0  1 28.553099 14.276598 22.842537
60    0  1 28.553116 14.276538 25.697812
61    0  1 28.553100 17.131801 28.553100
62    0  1 28.553048 17.132080  2.855137
63    0  1 28.553037 17.132376  5.710181
64    0  1 28.553056 17.132327  8.565481
65    0  1 28.553081 17.132087 11.421095
66    0  1 28.553081 17.132087 14.276713
67    0  1 28.553056 17.132327 17.132327
68    0  1 28.553037 17.132376 19.987627
69    0  1 28.553048 17.132080 22.842671
70    0  1 28.553100 17.131801 25.697828
71    0  1  0.000076 19.986968  0.000076
72    0  1 28.552861 19.988100  2.854553
73    0  1 28.552920 19.988427  5.709381
74    0  1 28.553037 19.987627  8.565432
75    0  1 28.553086 19.987325 11.421126
76    0  1 28.553086 19.987325 14.276682
77    0  1 28.553037 19.987627 17.132376
78    0  1 28.552920 19.988427 19.988427
79    0  1 28.552861 19.988100 22.843255
80    0  1  0.000076 19.986968 25.697732
81    0  1  0.001546 22.842605  0.001546
82    0  1 28.552699 22.846138  2.851670
83    0  1 28.552861 22.843255  5.709708
84    0  1 28.553048 22.842671  8.565728
85    0  1 28.553099 22.842537 11.421210
86    0  1 28.553099 22.842537 14.276598
87    0  1 28.553048 22.842671 17.132080
88    0  1 28.552861 22.843255 19.988100
89    0  1 28.552699 22.846138 22.846138
90    0  1  0.001546 22.842605 25.696262
91    0  1 28.511980 25.738948 28.511980
92    0  1  0.001546 25.696262  2.855203
93    0  1  0.000076 25.697732  5.710840
94    0  1 28.553100 25.697828  8.566007
95    0  1 28.553116 25.697812 11.421270
96    0  1 28.553116 25.697812 14.276538
97    0  1 28.553100 25.697828 17.131801
98    0  1  0.000076 25.697732 19.986968
99    0  1  0.001546 25.696262 22.842605
100   0  1 28.511980 25.738948 25.738948
101   0  1  2.855203  0.001546  0.001546
102   0  1  2.851670 28.552699  2.851670
103   0  1  2.854553 28.552861  5.709708
104   0  1  2.855137 28.553048  8.565728
105   0  1  2.855271 28.553099 11.421210
106   0  1  2.855271 28.553099 14.276598
107   0  1  2.855137 28.553048 17.132080
108   0  1  2.854553 28.552861 19.988100
109   0  1  2.851670 28.552699 22.846138
110   0  1  2.855203  0.001546 25.696262
111   0  1  2.851670  2.851670 28.552699
