Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.544579 28.617645 28.544579
2     1  1  0.011172  0.003430  2.854361
3     1  1  0.001418  0.000663  5.711234
8     1  1  0.000115 -0.000096 19.987135
9     1  1  0.002262 -0.000620 22.845705
10    1  1 28.497842 28.466312 25.784652
11    1  1  0.004745  2.863019  0.004745
12    1  1 28.551999  2.854978  2.854661
19    1  1 28.553105  2.848822 22.848987
20    1  1  0.002301  2.852126 25.698488
21    1  1  0.000452  5.711273  0.000452
30    1  1  0.000139  5.710685 25.697936
71    1  1  0.000348 19.984394  0.000348
80    1  1  0.001431 19.986545 25.697102
81    1  1  0.002706 22.797206  0.002706
82    1  1 28.545571 22.857612  2.840112
89    1  1 28.551925 22.843216 22.842964
90    1  1  0.011227 22.843375 25.694330
91    1  1 27.839745 26.411136 27.839745
92    1  1  0.002662 25.695002  2.900470
93    1  1  0.000315 25.697391  5.713403
98    1  1  0.000430 25.697406 19.986604
99    1  1  0.004730 25.693121 22.834882
100   1  1 28.544612 25.706318 25.633271
101   1  1  2.854361  0.003430  0.011172
102   1  1  2.830643 28.530822  2.830643
109   1  1  2.855437 28.556027 22.843834
110   1  1  2.858922  0.000386 25.697454
111   1  1  2.854661  2.854978 28.551999
112   1  1  2.854326  2.854558  2.854326
119   1  1  2.846319  2.845929 22.851896
120   1  1  2.855447  2.854017 25.694952
181   1  1  2.840112 22.857612 28.545571
182   1  1  2.838030 22.859700  2.838030
189   1  1  2.854426 22.843369 22.843372
190   1  1  2.831038 22.866729 25.719683
191   1  1  2.900470 25.695002  0.002662
192   1  1  2.840038 25.705180  2.840038
199   1  1  2.854616 25.699024 22.842958
200   1  1  2.854415 25.686570 25.694322
201   1  1  5.711234  0.000663  0.001418
210   1  1  5.713264  0.001625 25.696240
291   1  1  5.713403 25.697391  0.000315
300   1  1  5.711243 25.696360 25.697112
701   1  1 19.987135 -0.000096  0.000115
710   1  1 19.987532  0.000056 25.697743
791   1  1 19.986604 25.697406  0.000430
800   1  1 19.987134 25.697713 25.697907
801   1  1 22.845705 -0.000620  0.002262
802   1  1 22.843834 28.556027  2.855437
809   1  1 22.849985 28.549387 22.849985
810   1  1 22.843958  0.002021 25.695778
811   1  1 22.848987  2.848822 28.553105
812   1  1 22.851896  2.845929  2.846319
819   1  1 22.850500  2.847276 22.850500
820   1  1 22.850013  2.847772 25.701562
881   1  1 22.842964 22.843216 28.551925
882   1  1 22.843372 22.843369  2.854426
890   1  1 22.843829 22.842430 25.694919
891   1  1 22.834882 25.693121  0.004730
892   1  1 22.842958 25.699024  2.854616
899   1  1 22.848948 25.697851 22.848948
900   1  1 22.845693 25.695582 25.698432
901   1  1 25.784652 28.466312 28.497842
902   1  1 25.697454  0.000386  2.858922
903   1  1 25.696240  0.001625  5.713264
908   1  1 25.697743  0.000056 19.987532
909   1  1 25.695778  0.002021 22.843958
910   1  1 25.742495 28.508449 25.742495
911   1  1 25.698488  2.852126  0.002301
912   1  1 25.694952  2.854017  2.855447
919   1  1 25.701562  2.847772 22.850013
920   1  1 25.695812  2.853823 25.695812
921   1  1 25.697936  5.710685  0.000139
930   1  1 25.697782  5.710242 25.697782
971   1  1 25.697102 19.986545  0.001431
980   1  1 25.696205 19.984567 25.696205
981   1  1 25.694330 22.843375  0.011227
982   1  1 25.719683 22.866729  2.831038
989   1  1 25.694919 22.842430 22.843829
990   1  1 25.697437 22.838922 25.697437
991   1  1 25.633271 25.706318 28.544612
992   1  1 25.694322 25.686570  2.854415
993   1  1 25.697112 25.696360  5.711243
998   1  1 25.697907 25.697713 19.987134
999   1  1 25.698432 25.695582 22.845693
1000  1  1 25.784637 25.753112 25.784637
1001  1  1  1.428465  1.430752  1.428465
1002  1  1  1.430861  1.427565  4.282065
1008  1  1  1.426011  1.425911 21.417305
1009  1  1  1.405709  1.402417 24.295426
1010  1  1  1.431588  1.426153 27.114839
1011  1  1  1.429373  4.285282  1.429373
1019  1  1  1.426023  4.280512 24.271921
1020  1  1  1.428522  4.283292 27.124315
1071  1  1  1.430454 21.415521  1.430454
1079  1  1  1.430931 21.415606 24.270166
1080  1  1  1.427741 21.417382 27.123427
1081  1  1  1.383889 24.313777  1.383889
1082  1  1  1.430415 24.267266  4.282211
1088  1  1  1.429346 24.268488 21.412703
1089  1  1  1.428531 24.269279 24.267096
1090  1  1  1.341716 24.356013 27.181316
1091  1  1  1.341613 27.069451  1.341613
1092  1  1  1.427582 27.127294  4.280299
1098  1  1  1.428470 27.126692 21.414596
1099  1  1  1.431571 27.136146 24.271712
1100  1  1  1.492987 27.116209 27.134659
1101  1  1  4.282065  1.427565  1.430861
1109  1  1  4.282572  1.426504 24.271342
