Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.046948 28.046948 28.046948
2     1  1 -0.007672 -0.007672  2.896810
3     1  1 -0.000699 -0.000699  5.713393
8     1  1  0.000488  0.000488 19.986974
9     1  1  0.004557  0.004557 22.837999
10    1  1 28.533770 28.533770 25.673763
11    1  1 -0.007672  2.896810 -0.007672
12    1  1 28.553056  2.834698  2.834698
19    1  1 28.552446  2.854335 22.843764
20    1  1  0.010051  2.859243 25.691238
21    1  1 -0.000699  5.713393 -0.000699
30    1  1  0.001524  5.712713 25.696107
71    1  1  0.000488 19.986974  0.000488
80    1  1  0.000139 19.987755 25.698385
81    1  1  0.004557 22.837999  0.004557
82    1  1 28.552446 22.843764  2.854335
89    1  1 28.552539 22.850188 22.850188
90    1  1  0.002472 22.848690 25.700660
91    1  1 28.533770 25.673763 28.533770
92    1  1  0.010051 25.691238  2.859243
93    1  1  0.001524 25.696107  5.712713
98    1  1  0.000139 25.698385 19.987755
99    1  1  0.002472 25.700660 22.848690
100   1  1 28.499488 25.794179 25.794179
101   1  1  2.896810 -0.007672 -0.007672
102   1  1  2.834698 28.553056  2.834698
109   1  1  2.854335 28.552446 22.843764
110   1  1  2.859243  0.010051 25.691238
111   1  1  2.834698  2.834698 28.553056
112   1  1  2.823290  2.823290  2.823290
119   1  1  2.852505  2.852505 22.845009
120   1  1  2.836926  2.836926 25.712594
181   1  1  2.854335 22.843764 28.552446
182   1  1  2.852505 22.845009  2.852505
189   1  1  2.845296 22.852197 22.852197
190   1  1  2.854648 22.844762 25.695647
191   1  1  2.859243 25.691238  0.010051
192   1  1  2.836926 25.712594  2.836926
199   1  1  2.854648 25.695647 22.844762
200   1  1  2.864570 25.691607 25.691607
201   1  1  5.713393 -0.000699 -0.000699
210   1  1  5.712713  0.001524 25.696107
291   1  1  5.712713 25.696107  0.001524
300   1  1  5.715290 25.694412 25.694412
701   1  1 19.986974  0.000488  0.000488
710   1  1 19.987755  0.000139 25.698385
791   1  1 19.987755 25.698385  0.000139
800   1  1 19.988409 25.698318 25.698318
801   1  1 22.837999  0.004557  0.004557
802   1  1 22.843764 28.552446  2.854335
809   1  1 22.850188 28.552539 22.850188
810   1  1 22.848690  0.002472 25.700660
811   1  1 22.843764  2.854335 28.552446
812   1  1 22.845009  2.852505  2.852505
819   1  1 22.852197  2.845296 22.852197
820   1  1 22.844762  2.854648 25.695647
881   1  1 22.850188 22.850188 28.552539
882   1  1 22.852197 22.852197  2.845296
890   1  1 22.852268 22.852268 25.702931
891   1  1 22.848690 25.700660  0.002472
892   1  1 22.844762 25.695647  2.854648
899   1  1 22.852268 25.702931 22.852268
900   1  1 22.847758 25.698765 25.698765
901   1  1 25.673763 28.533770 28.533770
902   1  1 25.691238  0.010051  2.859243
903   1  1 25.696107  0.001524  5.712713
908   1  1 25.698385  0.000139 19.987755
909   1  1 25.700660  0.002472 22.848690
910   1  1 25.794179 28.499488 25.794179
911   1  1 25.691238  2.859243  0.010051
912   1  1 25.712594  2.836926  2.836926
919   1  1 25.695647  2.854648 22.844762
920   1  1 25.691607  2.864570 25.691607
921   1  1 25.696107  5.712713  0.001524
930   1  1 25.694412  5.715290 25.694412
971   1  1 25.698385 19.987755  0.000139
980   1  1 25.698318 19.988409 25.698318
981   1  1 25.700660 22.848690  0.002472
982   1  1 25.695647 22.844762  2.854648
989   1  1 25.702931 22.852268 22.852268
990   1  1 25.698765 22.847758 25.698765
991   1  1 25.794179 25.794179 28.499488
992   1  1 25.691607 25.691607  2.864570
993   1  1 25.694412 25.694412  5.715290
998   1  1 25.698318 25.698318 19.988409
999   1  1 25.698765 25.698765 22.847758
1000  1  1 25.751056 25.751056 25.751056
1001  1  1  1.320465  1.320465  1.320465
1002  1  1  1.424258  1.424258  4.273449
1008  1  1  1.428715  1.428715 21.413644
1009  1  1  1.422392  1.422392 24.273110
1010  1  1  1.370019  1.370019 27.160417
1011  1  1  1.424258  4.273449  1.424258
1019  1  1  1.430904  4.283466 24.269128
1020  1  1  1.428619  4.282446 27.122648
1071  1  1  1.428715 21.413644  1.428715
1079  1  1  1.425357 21.418245 24.272735
1080  1  1  1.428191 21.415570 27.124878
1081  1  1  1.422392 24.273110  1.422392
1082  1  1  1.430904 24.269128  4.283466
1088  1  1  1.425357 24.272735 21.418245
1089  1  1  1.404202 24.296788 24.296788
1090  1  1  1.429982 24.274679 27.118907
1091  1  1  1.370019 27.160417  1.370019
1092  1  1  1.428619 27.122648  4.282446
1098  1  1  1.428191 27.124878 21.415570
1099  1  1  1.429982 27.118907 24.274679
1100  1  1  1.511689 27.121745 27.121745
1101  1  1  4.273449  1.424258  1.424258
1109  1  1  4.283466  1.430904 24.269128
