Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 27.839339 27.839339 27.839339
2     1  1  0.001774  0.001774  2.899907
3     1  1 28.552729 28.552729  5.713216
9     1  1  0.005024  0.005024 22.834383
10    1  1 28.544522 28.544522 25.632802
11    1  1  0.001774  2.899907  0.001774
12    1  1 28.544496  2.838836  2.838836
13    1  1 28.551598  2.852453  5.707557
19    1  1 28.552036  2.854976 22.842231
20    1  1  0.010764  2.854286 25.693705
21    1  1 28.552729  5.713216 28.552729
22    1  1 28.551598  5.707557  2.852453
30    1  1  0.001006  5.711343 25.696562
81    1  1  0.005024 22.834383  0.005024
82    1  1 28.552036 22.842231  2.854976
89    1  1  0.000459 22.849405 22.849405
90    1  1  0.002747 22.845678 25.698763
91    1  1 28.544522 25.632802 28.544522
92    1  1  0.010764 25.693705  2.854286
93    1  1  0.001006 25.696562  5.711343
99    1  1  0.002747 25.698763 22.845678
100   1  1 28.498076 25.784474 25.784474
101   1  1  2.899907  0.001774  0.001774
102   1  1  2.838836 28.544496  2.838836
103   1  1  2.852453 28.551598  5.707557
109   1  1  2.854976 28.552036 22.842231
110   1  1  2.854286  0.010764 25.693705
111   1  1  2.838836  2.838836 28.544496
112   1  1  2.836261  2.836261  2.836261
119   1  1  2.854410  2.854410 22.842433
120   1  1  2.830115  2.830115 25.719391
121   1  1  2.852453  5.707557 28.551598
130   1  1  2.853338  5.708169 25.699052
181   1  1  2.854976 22.842231 28.552036
182   1  1  2.854410 22.842433  2.854410
190   1  1  2.855984 22.843521 25.694950
191   1  1  2.854286 25.693705  0.010764
192   1  1  2.830115 25.719391  2.830115
193   1  1  2.853338 25.699052  5.708169
199   1  1  2.855984 25.694950 22.843521
200   1  1  2.859209 25.697129 25.697129
201   1  1  5.713216 28.552729 28.552729
202   1  1  5.707557 28.551598  2.852453
210   1  1  5.711343  0.001006 25.696562
211   1  1  5.707557  2.852453 28.551598
220   1  1  5.708169  2.853338 25.699052
291   1  1  5.711343 25.696562  0.001006
292   1  1  5.708169 25.699052  2.853338
300   1  1  5.713706 25.695822 25.695822
801   1  1 22.834383  0.005024  0.005024
802   1  1 22.842231 28.552036  2.854976
809   1  1 22.849405  0.000459 22.849405
810   1  1 22.845678  0.002747 25.698763
811   1  1 22.842231  2.854976 28.552036
812   1  1 22.842433  2.854410  2.854410
820   1  1 22.843521  2.855984 25.694950
881   1  1 22.849405 22.849405  0.000459
890   1  1 22.850733 22.850733 25.702295
891   1  1 22.845678 25.698763  0.002747
892   1  1 22.843521 25.694950  2.855984
899   1  1 22.850733 25.702295 22.850733
900   1  1 22.844352 25.696360 25.696360
901   1  1 25.632802 28.544522 28.544522
902   1  1 25.693705  0.010764  2.854286
903   1  1 25.696562  0.001006  5.711343
909   1  1 25.698763  0.002747 22.845678
910   1  1 25.784474 28.498076 25.784474
911   1  1 25.693705  2.854286  0.010764
912   1  1 25.719391  2.830115  2.830115
913   1  1 25.699052  2.853338  5.708169
919   1  1 25.694950  2.855984 22.843521
920   1  1 25.697129  2.859209 25.697129
921   1  1 25.696562  5.711343  0.001006
922   1  1 25.699052  5.708169  2.853338
930   1  1 25.695822  5.713706 25.695822
981   1  1 25.698763 22.845678  0.002747
982   1  1 25.694950 22.843521  2.855984
989   1  1 25.702295 22.850733 22.850733
990   1  1 25.696360 22.844352 25.696360
991   1  1 25.784474 25.784474 28.498076
992   1  1 25.697129 25.697129  2.859209
993   1  1 25.695822 25.695822  5.713706
999   1  1 25.696360 25.696360 22.844352
1000  1  1 25.743028 25.743028 25.743028
1001  1  1  1.382530  1.382530  1.382530
1002  1  1  1.429199  1.429199  4.281207
1008  1  1  1.429736  1.429736 21.411853
1009  1  1  1.428430  1.428430 24.266349
1010  1  1  1.341084  1.341084 27.180603
1011  1  1  1.429199  4.281207  1.429199
1012  1  1  1.423264  4.274826  4.274826
1019  1  1  1.430609  4.282037 24.269575
1020  1  1  1.426795  4.279881 27.122812
1071  1  1  1.429736 21.411853  1.429736
1079  1  1  1.426507 21.417390 24.272221
1080  1  1  1.428996 21.414216 27.124553
1081  1  1  1.428430 24.266349  1.428430
1082  1  1  1.430609 24.269575  4.282037
1088  1  1  1.426507 24.272221 21.417390
1089  1  1  1.406168 24.295443 24.295443
1090  1  1  1.431853 24.271273 27.114795
1091  1  1  1.341084 27.180603  1.341084
1092  1  1  1.426795 27.122812  4.279881
1098  1  1  1.428996 27.124553 21.414216
1099  1  1  1.431853 27.114795 24.271273
1100  1  1  1.492757 27.134157 27.134157
1101  1  1  4.281207  1.429199  1.429199
1102  1  1  4.274826  1.423264  4.274826
1109  1  1  4.282037  1.430609 24.269575
1110  1  1  4.279881  1.426795 27.122812
